mCA	N_single_mCA	N_double_mCA	N_3_or_more_mCA	s	lower_95_s	upper_95_s	s_probs_list	mu	lower_95_mu	upper_95_mu	mu_probs_list																								
1q+	15	7	14	0.165714286	0.157755102	0.205510204	"[[11.0, 11.795918367346939, 12.591836734693878, 13.387755102040815, 14.183673469387756, 14.979591836734693, 15.775510204081634, 16.57142857142857, 17.367346938775512, 18.16326530612245, 18.959183673469386, 19.755102040816325, 20.551020408163268, 21.346938775510203, 22.142857142857142, 22.93877551020408, 23.73469387755102, 24.53061224489796, 25.326530612244895, 26.122448979591837, 26.918367346938776, 27.714285714285715, 28.51020408163265, 29.306122448979593, 30.102040816326532, 30.897959183673468, 31.69387755102041, 32.48979591836735, 33.285714285714285, 34.08163265306122, 34.87755102040816, 35.673469387755105, 36.46938775510204, 37.265306122448976, 38.06122448979592, 38.857142857142854, 39.6530612244898, 40.44897959183673, 41.244897959183675, 42.04081632653061, 42.836734693877546, 43.63265306122449, 44.42857142857143, 45.224489795918366, 46.0204081632653, 46.816326530612244, 47.61224489795918, 48.40816326530612, 49.204081632653065, 50.0], [1.5063123994745157e-218, 9.567560612617117e-82, 3.899061537441495e-32, 6.111732639236588e-14, 3.534340393766771e-06, 0.006492105150224401, 0.12019484942108322, 0.2803733472362873, 0.25752577666834936, 0.15782350406242684, 0.08269262365077718, 0.04162450920295515, 0.021240579248988884, 0.011249239541393759, 0.006240438055894904, 0.0036401591135453906, 0.002240762024967347, 0.001460168457081058, 0.0010073575457035437, 0.0007331229587616337, 0.0005594861211872921, 0.0004447040110193786, 0.00036574532228755656, 0.000309475213117881, 0.0002681420795273381, 0.000237007720018384, 0.00021307042554988628, 0.0001943578952743723, 0.00017952592412524582, 0.00016762826321242984, 0.00015798338595259583, 0.0001500939090679663, 0.00014359396350925493, 0.0001382124843423493, 0.00013374686093589147, 0.00013004393973520162, 0.00012698612690146933, 0.0001244805829079181, 0.00012245029999557438, 0.00012082727630834251, 0.00011954861590081432, 0.00011855554890764012, 0.0001177942647274189, 0.00011721718765473988, 0.00011678380424021876, 0.00011646076906845954, 0.00011622140622580256, 0.00011604485561283044, 0.00011591509211342053, 0.0001158199716778617]]"	1.77E-10	5.59E-11	2.51E-10	"[[7.000000000000002e-12, 7.856318837041857e-12, 8.817392238465529e-12, 9.896034962377625e-12, 1.1106629412421731e-11, 1.2465317409835995e-11, 1.3990215425228616e-11, 1.5701656139928158e-11, 1.7622459557838783e-11, 1.9778237282750934e-11, 2.2197734018279954e-11, 2.4913210843922515e-11, 2.7960875377757693e-11, 3.138136456149394e-11, 3.522028650522036e-11, 3.952882861671054e-11, 4.4364440123951735e-11, 4.979159809151678e-11, 5.58826671446858e-11, 6.2718864364705e-11, 7.039134222090072e-11, 7.9002403979246e-11, 8.866686779339154e-11, 9.951359766667453e-11, 1.1168722169864232e-10, 1.2535006052684529e-10, 1.4068429167734106e-10, 1.5789437868294073e-10, 1.772097973585439e-10, 1.9888809558518548e-10, 2.232183274013248e-10, 2.5052490719085776e-10, 2.81171935358814e-10, 3.1556805317242364e-10, 3.5417189150101964e-10, 3.974981861071721e-10, 4.4612464102910646e-10, 5.006996315693578e-10, 5.619508495997518e-10, 6.306950064574551e-10, 7.078487228085656e-10, 7.944407506824186e-10, 8.916256906428547e-10, 1.0006993869982691e-09, 1.1231162063272484e-09, 1.2605084297079642e-09, 1.4147080172235323e-09, 1.5877710349467674e-09, 1.7820050701088184e-09, 2e-09], [2.490858396888337e-15, 3.7569313813540167e-13, 3.340297129943257e-11, 1.7526248661027244e-09, 5.435507443028064e-08, 9.988026435298723e-07, 1.091566318210534e-05, 7.14021307360455e-05, 0.0002827909239773184, 0.0006937374010278015, 0.001106770777364972, 0.0012777169186434963, 0.0013039908353177545, 0.0014687968197175045, 0.0019494701056125441, 0.0028798027835279343, 0.0044877090616542116, 0.007143841177699157, 0.01137910625157117, 0.01788207910189602, 0.02742454078845451, 0.04064275886554546, 0.057633700581284975, 0.07735739261516676, 0.09742598095724266, 0.11353961411579525, 0.120897253633169, 0.11866954168293099, 0.10308151412356377, 0.076960921879643, 0.05382524131679596, 0.0341470008385411, 0.016545022501127892, 0.00624072991746843, 0.002402732915638838, 0.0009402949478300542, 0.00027075269973869274, 4.90747689967952e-05, 5.9006910298973735e-06, 7.057726385536729e-07, 1.1982330879064213e-07, 1.7881864807198378e-08, 1.688420284085687e-09, 9.457086704564668e-11, 3.1183405981830527e-12, 6.156598209709101e-14, 8.907584879855604e-16, 2.263799274924174e-17, 9.40340601532218e-19, 2.7653585558281545e-20]]"																								
2p+	8	2	6	0.142857143	0.128571429	0.195918367	"[[10.0, 10.204081632653061, 10.408163265306122, 10.612244897959185, 10.816326530612246, 11.020408163265307, 11.22448979591837, 11.428571428571429, 11.63265306122449, 11.83673469387755, 12.040816326530612, 12.244897959183675, 12.448979591836736, 12.653061224489798, 12.85714285714286, 13.061224489795919, 13.26530612244898, 13.46938775510204, 13.673469387755102, 13.877551020408163, 14.081632653061227, 14.285714285714285, 14.48979591836735, 14.69387755102041, 14.897959183673471, 15.10204081632653, 15.306122448979592, 15.510204081632656, 15.714285714285714, 15.918367346938778, 16.122448979591837, 16.3265306122449, 16.53061224489796, 16.73469387755102, 16.93877551020408, 17.142857142857142, 17.346938775510207, 17.551020408163264, 17.75510204081633, 17.95918367346939, 18.16326530612245, 18.367346938775512, 18.571428571428573, 18.775510204081634, 18.979591836734695, 19.183673469387756, 19.387755102040817, 19.591836734693878, 19.79591836734694, 20.0], [2.7607355352121673e-30, 1.8461329565175337e-21, 2.7192344820745703e-15, 3.400333751183797e-11, 1.2285093684930085e-08, 4.5722838888416e-07, 5.630918979698012e-06, 3.9938628663044835e-05, 0.00018989167333238215, 0.0006558176000030863, 0.0017520866448617455, 0.0038081453391666143, 0.00701150470362327, 0.011296443122578423, 0.016346784919410568, 0.02169693894347004, 0.026864828802058805, 0.03145667173487258, 0.03521822319593791, 0.03803763430794305, 0.0399187774066494, 0.040943841665793235, 0.04123781845643638, 0.04094084406914845, 0.04018967057904264, 0.03910706088573075, 0.03779704189968867, 0.036343985863595246, 0.034813898738546255, 0.033256775011374556, 0.03170929345436589, 0.030197437634571063, 0.028738833528079013, 0.027344725994340863, 0.026021589470047894, 0.024772405509549764, 0.023597654992606375, 0.02249607556978233, 0.02146523131949831, 0.02050193528932752, 0.019602558623645704, 0.018763253382111458, 0.01798011038531157, 0.01724926861684272, 0.016566988830038064, 0.01592970094306551, 0.015334032425415282, 0.014776823051832555, 0.014255130011103703, 0.013766226310069287]]"	2.33E-10	2.95E-11	7.20E-10	"[[1e-12, 1.2067926406393264e-12, 1.4563484775012444e-12, 1.7575106248547894e-12, 2.1209508879201927e-12, 2.559547922699533e-12, 3.088843596477485e-12, 3.727593720314938e-12, 4.498432668969453e-12, 5.428675439323859e-12, 6.551285568595496e-12, 7.906043210907701e-12, 9.540954763499924e-12, 1.151395399326448e-11, 1.389495494373136e-11, 1.67683293681101e-11, 2.0235896477251556e-11, 2.4420530945486546e-11, 2.94705170255181e-11, 3.556480306223121e-11, 4.2919342601287785e-11, 5.179474679231202e-11, 6.250551925273977e-11, 7.543120063354607e-11, 9.102981779915227e-11, 1.0985411419875573e-10, 1.3257113655901109e-10, 1.5998587196060573e-10, 1.9306977288832457e-10, 2.329951810515372e-10, 2.811768697974225e-10, 3.3932217718953296e-10, 4.0949150623804193e-10, 4.941713361323838e-10, 5.963623316594636e-10, 7.196856730011529e-10, 8.68511373751352e-10, 1.048113134154683e-09, 1.2648552168552958e-09, 1.5264179671752304e-09, 1.8420699693267164e-09, 2.222996482526191e-09, 2.6826957952797275e-09, 3.23745754281764e-09, 3.906939937054621e-09, 4.71486636345739e-09, 5.689866029018281e-09, 6.866488450042998e-09, 8.28642772854686e-09, 1e-08], [5.187062080521021e-40, 3.972309651687561e-36, 1.8594723935955955e-32, 5.322589116327366e-29, 9.320435917551899e-26, 9.989953253407522e-23, 6.558283989778412e-20, 2.6391821183709313e-17, 6.516924708235375e-15, 9.88717015298121e-13, 9.231752163082453e-11, 5.31665703667824e-09, 1.894225827096286e-07, 4.1923839204230896e-06, 5.7982169426964735e-05, 0.0005055014404544183, 0.002815363074122732, 0.010229561601175698, 0.02508179096031006, 0.04378598421667273, 0.05889631706968982, 0.06725982039662498, 0.07112463527626066, 0.07314792441094171, 0.07424489299546563, 0.07435625420504023, 0.0732100517129608, 0.07057478746553598, 0.06634049558652697, 0.060564096524260334, 0.05348891145486392, 0.04552886872951625, 0.037214486188075324, 0.02910953891167667, 0.021718137269534758, 0.015406666951023808, 0.010360861429396746, 0.006586442832857685, 0.003947320568094641, 0.00222452546358123, 0.0011759755186659994, 0.000581808726293536, 0.0002687983683403932, 0.00011572598563679604, 4.6336223105550695e-05, 1.722234148573764e-05, 5.930758550994978e-06, 1.8894751838946014e-06, 5.557264110760658e-07, 1.5075576240289174e-07]]"																								
3+	30	39	32	0.142857143	0.136734694	0.153061224	"[[10.0, 10.204081632653061, 10.408163265306122, 10.612244897959185, 10.816326530612246, 11.020408163265307, 11.22448979591837, 11.428571428571429, 11.63265306122449, 11.83673469387755, 12.040816326530612, 12.244897959183675, 12.448979591836736, 12.653061224489798, 12.85714285714286, 13.061224489795919, 13.26530612244898, 13.46938775510204, 13.673469387755102, 13.877551020408163, 14.081632653061227, 14.285714285714285, 14.48979591836735, 14.69387755102041, 14.897959183673471, 15.10204081632653, 15.306122448979592, 15.510204081632656, 15.714285714285714, 15.918367346938778, 16.122448979591837, 16.3265306122449, 16.53061224489796, 16.73469387755102, 16.93877551020408, 17.142857142857142, 17.346938775510207, 17.551020408163264, 17.75510204081633, 17.95918367346939, 18.16326530612245, 18.367346938775512, 18.571428571428573, 18.775510204081634, 18.979591836734695, 19.183673469387756, 19.387755102040817, 19.591836734693878, 19.79591836734694, 20.0], [4.812942198395094e-292, 1.539491395410341e-225, 1.016182141992146e-173, 1.0258771891993533e-133, 3.4272509246907087e-103, 3.5877599330229825e-80, 9.500623520554193e-63, 4.019236062779342e-49, 2.709006005453861e-38, 1.0664166241872942e-29, 6.764567601202438e-23, 1.5585333611246272e-17, 2.5018677887668243e-13, 4.718805658849011e-10, 1.5908908802295563e-07, 1.3431996677167165e-05, 0.00037252460630699446, 0.004222522068223332, 0.023328675390058794, 0.07241798311972732, 0.1416821828438219, 0.1917017939079421, 0.1933835980482168, 0.1545728457129671, 0.102847512994478, 0.05928910597912275, 0.030589064807562044, 0.014500841616003832, 0.006452336573407368, 0.002741813671773946, 0.0011282938800718006, 0.000454743943802669, 0.00018114014942908197, 7.183342642795936e-05, 2.8523703967471872e-05, 1.1389964930026253e-05, 4.584519130253035e-06, 1.8581141032858023e-06, 7.535432028559559e-07, 3.0199992331973775e-07, 1.1763285027697e-07, 4.377414776233802e-08, 1.5341862845581598e-08, 5.01500800711158e-09, 1.5209031267137592e-09, 4.272057322735157e-10, 1.11241071029788e-10, 2.6921845932457664e-11, 6.077405462026952e-12, 1.285017999093639e-12]]"	5.41E-10	3.67E-10	6.38E-10	"[[2.0000000000000003e-10, 2.1136440825652592e-10, 2.2337456538815586e-10, 2.3606716416413107e-10, 2.4948098231173854e-10, 2.636570009878871e-10, 2.7863852998247395e-10, 2.9447134003606925e-10, 3.1120380267615e-10, 3.2888703799912546e-10, 3.4757507084963207e-10, 3.673249958742627e-10, 3.881971519539717e-10, 4.1025530654809944e-10, 4.335668505131916e-10, 4.582030039918318e-10, 4.842390340004805e-10, 5.117544843811143e-10, 5.408334188191886e-10, 5.715646776703582e-10, 6.040421493806361e-10, 6.383650573291881e-10, 6.746382629701354e-10, 7.129725861994659e-10, 7.534851439258749e-10, 7.962997078798757e-10, 8.415470827543717e-10, 8.89365505831917e-10, 9.399010693196448e-10, 9.933081666821092e-10, 1.0497499643356929e-09, 1.1093989001456144e-09, 1.172437210248592e-09, 1.2390574858106235e-09, 1.3094632614209056e-09, 1.383869636919451e-09, 1.4625039345582594e-09, 1.5456063935037367e-09, 1.633430903802102e-09, 1.7262457820502678e-09, 1.8243345911418856e-09, 1.9279970065930785e-09, 2.0375497320944967e-09, 2.1533274670869806e-09, 2.2756839293168076e-09, 2.4049929354946634e-09, 2.5416495433597734e-09, 2.6860712586385275e-09, 2.8386993105849703e-09, 3.0000000000000012e-09], [3.939687449038005e-07, 1.3235722879277095e-06, 4.32047343785816e-06, 1.362675860967229e-05, 4.129129506449261e-05, 0.00011951292130366625, 0.00032848623778029503, 0.000852318989606688, 0.0020753849900358385, 0.004714526181455027, 0.00993261716204548, 0.019294771261193198, 0.034360393888187304, 0.05577586242193003, 0.08206758537172772, 0.10885462225759024, 0.12945938485522848, 0.13732360246323977, 0.12925567777214542, 0.10741641097400553, 0.0784312216462447, 0.050077603998535176, 0.027831065533824424, 0.01340308588299923, 0.005568973921476652, 0.001987996294186145, 0.0006072264352967237, 0.00015806515789973713, 3.493526450305556e-05, 6.530553359044379e-06, 1.028751754360516e-06, 1.3615825732085973e-07, 1.5079039421851857e-08, 1.3927004966897836e-09, 1.0710311483157374e-10, 6.825712191009919e-12, 3.589356395720665e-13, 1.5594203699472126e-14, 5.578859220271146e-16, 1.6282239096801392e-17, 3.8813900821156243e-19, 7.606354840740736e-21, 1.2127985569548e-22, 1.5508904760630216e-24, 1.6054015741670016e-26, 1.3655733565058058e-28, 9.392875880788684e-31, 5.0844467242046515e-33, 2.1842558344520525e-35, 7.706210931669723e-38]]"																								
3q+	17	17	26	0.152857143	0.144285714	0.164285714	"[[11.0, 11.285714285714286, 11.571428571428571, 11.857142857142858, 12.142857142857142, 12.428571428571429, 12.714285714285714, 13.0, 13.285714285714286, 13.571428571428573, 13.857142857142858, 14.142857142857142, 14.428571428571429, 14.714285714285715, 15.000000000000002, 15.285714285714286, 15.571428571428573, 15.857142857142858, 16.142857142857142, 16.428571428571427, 16.714285714285715, 17.0, 17.28571428571429, 17.57142857142857, 17.85714285714286, 18.142857142857142, 18.42857142857143, 18.714285714285715, 19.0, 19.28571428571429, 19.571428571428573, 19.857142857142858, 20.142857142857146, 20.42857142857143, 20.714285714285715, 21.000000000000004, 21.285714285714285, 21.571428571428577, 21.857142857142858, 22.142857142857146, 22.42857142857143, 22.714285714285715, 23.000000000000004, 23.28571428571429, 23.57142857142857, 23.85714285714286, 24.142857142857142, 24.428571428571434, 24.714285714285715, 25.0], [1.0334642887740308e-114, 7.914572148610052e-80, 7.308828609812481e-57, 4.1254050846318363e-41, 1.242935255863469e-29, 3.022818133630638e-21, 3.845585533117757e-15, 1.0083627128402363e-10, 1.4938456387737286e-07, 2.6293396220648475e-05, 0.0009523949994823555, 0.010666366302313853, 0.04998364865662515, 0.12278736590436129, 0.187127475014133, 0.2007030845671731, 0.16653314186677362, 0.11477727185141133, 0.06931654268262465, 0.038185584808263014, 0.01977676333651951, 0.009849936730029976, 0.00479821104927466, 0.0023150296962944237, 0.0011166135006411757, 0.0005420952588895976, 0.0002662035155308607, 0.00013268966678350684, 6.729720604175355e-05, 3.4784963280421166e-05, 1.8342233681497514e-05, 9.872119514750186e-06, 5.424348247980704e-06, 3.042521551644739e-06, 1.741632833106742e-06, 1.0170570848257628e-06, 6.056048449529738e-07, 3.6750022841748714e-07, 2.2715340093589329e-07, 1.4294388167098443e-07, 9.154404469181887e-08, 5.964865497060569e-08, 3.953845394573763e-08, 2.6660742651624796e-08, 1.8287965026461326e-08, 1.2761581338789198e-08, 9.058828181793419e-09, 6.5405172039769955e-09, 4.802001487126039e-09, 3.583868773892152e-09]]"	3.82E-10	2.39E-10	5.06E-10	"[[4.000000000000001e-11, 4.39416456795023e-11, 4.827170562557307e-11, 5.302845462360445e-11, 5.82539391000498e-11, 6.39943487842423e-11, 7.030042499419159e-11, 7.722790915533016e-11, 8.483803551680772e-11, 9.31980724206149e-11, 1.0238191690798135e-10, 1.1247074791896903e-10, 1.2355374385909942e-10, 1.3572887087581324e-10, 1.4910374881259755e-10, 1.637966024952168e-10, 1.799373067587782e-10, 1.9766853445295358e-10, 2.1714701757295443e-10, 2.385449326637855e-10, 2.620514227438199e-10, 2.8787426920046124e-10, 3.1624172843630815e-10, 3.474045495005409e-10, 3.816381905399971e-10, 4.192452536618751e-10, 4.6055815973057935e-10, 5.059420867421185e-10, 5.557981977492545e-10, 6.105671868700948e-10, 6.707331747244042e-10, 7.368279877306867e-10, 8.094358590900625e-10, 8.891985930104767e-10, 9.768212378194622e-10, 1.0730783181118911e-09, 1.1788206810207241e-09, 1.2949830171270564e-09, 1.422592122489249e-09, 1.5627759748218487e-09, 1.7167737040515118e-09, 1.8859465453829564e-09, 2.0717898716924814e-09, 2.2759464116073225e-09, 2.5002207701095913e-09, 2.7465953800172e-09, 3.017248025341844e-09, 3.3145710914187448e-09, 3.641192711966092e-09, 4.000000000000001e-09], [2.2081444733362528e-14, 1.1400568276719716e-12, 2.924964391685016e-11, 3.8666476112951357e-10, 2.8144782800132665e-09, 1.271198570170064e-08, 4.280682428825536e-08, 1.300846998199092e-07, 3.951455673723739e-07, 1.2202207816352648e-06, 3.798883446604231e-06, 1.1805125219449696e-05, 3.6258878909143663e-05, 0.00010895744647924, 0.0003169070131880596, 0.0008821408144237819, 0.0023225332146602417, 0.005713650653146425, 0.012970892975570313, 0.02683017748934759, 0.04992689565281962, 0.0825234596572179, 0.11964196459264913, 0.15027157421850826, 0.16154792496072476, 0.1469067664965668, 0.11172451172727542, 0.07027492643528861, 0.036179690560024146, 0.015082941943214516, 0.0050470558388579926, 0.0013404460527149168, 0.00028063720910045524, 4.5890146684217564e-05, 5.777788836562833e-06, 5.660189527937292e-07, 4.158372276805704e-08, 2.317940166480616e-09, 9.9958799961198e-11, 3.0661817347437518e-12, 7.02867619211667e-14, 1.2771318860917292e-15, 1.5807806680630274e-17, 1.3399575756840377e-19, 9.463506868809758e-22, 4.955948271175051e-24, 1.5558289309438204e-26, 3.358223469484319e-29, 6.614829294278022e-32, 9.599436166322373e-35]]"																								
4+	1	2	7	0.131428571	0.114285714	0.474285714	"[[8.0, 8.857142857142858, 9.714285714285714, 10.571428571428571, 11.428571428571429, 12.285714285714286, 13.142857142857146, 14.000000000000002, 14.857142857142858, 15.714285714285714, 16.57142857142857, 17.42857142857143, 18.28571428571429, 19.142857142857146, 20.0, 20.857142857142858, 21.714285714285715, 22.57142857142857, 23.42857142857143, 24.28571428571429, 25.142857142857146, 26.0, 26.857142857142858, 27.714285714285715, 28.571428571428577, 29.42857142857143, 30.28571428571429, 31.142857142857146, 32.0, 32.857142857142854, 33.71428571428572, 34.57142857142858, 35.42857142857143, 36.285714285714285, 37.142857142857146, 38.0, 38.85714285714286, 39.714285714285715, 40.57142857142858, 41.42857142857143, 42.285714285714285, 43.142857142857146, 44.00000000000001, 44.85714285714286, 45.714285714285715, 46.57142857142858, 47.42857142857143, 48.285714285714285, 49.142857142857146, 50.0], [1.0086937892348355e-37, 7.754025575103936e-11, 9.669620230838238e-05, 0.007508206139563621, 0.043172425483562024, 0.0797282968829871, 0.08977540126419811, 0.08193207811426, 0.06887067885155682, 0.05648060952940587, 0.04635487743475861, 0.03847990819386207, 0.03243323240599409, 0.027780181085848392, 0.024169931216183986, 0.02133910287040337, 0.01909428810690527, 0.01729565720048946, 0.015846867401444698, 0.014682831258976934, 0.013753354696553465, 0.013014046329370551, 0.012425528681681891, 0.011954624347987759, 0.01157470193922314, 0.011265203045446686, 0.011010693346366507, 0.010799735888338187, 0.010623827296745063, 0.01047651001929319, 0.01035271644954863, 0.010248368782519113, 0.010160171416474793, 0.010085488515061424, 0.010022238286923746, 0.009968787734450413, 0.009923853967469767, 0.009886415384328972, 0.00985562530353982, 0.009830724111088178, 0.009810967910594994, 0.00979559924080298, 0.009783862769611384, 0.009775044136630941, 0.009768506636670154, 0.009763712211082059, 0.009760225517870365, 0.009757706054531884, 0.009755894253563102, 0.009754596005981999]]"	1.35E-10	7.10E-12	3.05E-10	"[[1e-12, 1.1775020130253656e-12, 1.3865109906787938e-12, 1.6326194826060736e-12, 1.9224127272730903e-12, 2.263644856229647e-12, 2.6654463749849234e-12, 3.1385684721559236e-12, 3.6956706939815455e-12, 4.3516596816421374e-12, 5.124088035134939e-12, 6.03362397629058e-12, 7.104604377920298e-12, 8.365685956749975e-12, 9.850612054411168e-12, 1.1599115523601082e-11, 1.365798187835404e-11, 1.608230115562591e-11, 1.8936941984829673e-11, 2.2298287307681593e-11, 2.6256278191813033e-11, 3.091682042541385e-11, 3.64046182872687e-11, 4.286651131667893e-11, 5.047540336676426e-11, 5.943488907263223e-11, 6.998470152696375e-11, 8.240712692897953e-11, 9.703455784651021e-11, 1.1425838719729251e-10, 1.345394809298436e-10, 1.5842050962627861e-10, 1.8654046898944814e-10, 2.1965177774577185e-10, 2.586404104602465e-10, 3.045496039666471e-10, 3.586077717368048e-10, 4.222613731066302e-10, 4.972136168559141e-10, 5.854700347514616e-10, 6.893921444858768e-10, 8.117606378959969e-10, 9.558497852172912e-10, 1.1255150462432283e-09, 1.3252962326417387e-09, 1.5605389817905804e-09, 1.8375377924629703e-09, 2.1637044496353338e-09, 2.547766345037557e-09, 3.0000000000000012e-09], [1.3206353885709949e-18, 3.193013147429179e-16, 5.045709336862128e-14, 5.212985173476473e-12, 3.522657212633658e-10, 1.557770759816227e-08, 4.5111891846056143e-07, 8.563460308637719e-06, 0.00010670024250484054, 0.0008743793012716901, 0.004726876889836131, 0.016940925734407686, 0.040600084898131196, 0.06612675495103947, 0.0756470697602227, 0.06518270213129586, 0.04850984361876575, 0.037565982361043984, 0.03348402845040191, 0.033053579841700625, 0.034017324811159204, 0.0354813953311609, 0.03712728553168724, 0.038782424664227544, 0.04028613399589268, 0.04146244596073509, 0.0421248076957783, 0.04207113411388475, 0.041196693597485505, 0.03938901495785984, 0.03639214622530131, 0.032862590699083656, 0.029019243697462442, 0.023676411056933452, 0.018280554853622667, 0.014916873357370575, 0.011759965691546644, 0.007466895665460512, 0.0040201696726258175, 0.0025978718127702164, 0.0020387358775579715, 0.0013173515172526882, 0.0005859013892828034, 0.0001797242653880178, 5.204853729652646e-05, 2.923178162952964e-05, 2.1305066887603227e-05, 1.1399971868076424e-05, 4.029272226766923e-06, 9.302334754473752e-07]]"																								
5p+	32	5	4	0.14	0.122857143	0.465714286	"[[8.0, 8.857142857142858, 9.714285714285714, 10.571428571428571, 11.428571428571429, 12.285714285714286, 13.142857142857146, 14.000000000000002, 14.857142857142858, 15.714285714285714, 16.57142857142857, 17.42857142857143, 18.28571428571429, 19.142857142857146, 20.0, 20.857142857142858, 21.714285714285715, 22.57142857142857, 23.42857142857143, 24.28571428571429, 25.142857142857146, 26.0, 26.857142857142858, 27.714285714285715, 28.571428571428577, 29.42857142857143, 30.28571428571429, 31.142857142857146, 32.0, 32.857142857142854, 33.71428571428572, 34.57142857142858, 35.42857142857143, 36.285714285714285, 37.142857142857146, 38.0, 38.85714285714286, 39.714285714285715, 40.57142857142858, 41.42857142857143, 42.285714285714285, 43.142857142857146, 44.00000000000001, 44.85714285714286, 45.714285714285715, 46.57142857142858, 47.42857142857143, 48.285714285714285, 49.142857142857146, 50.0], [8.867184330698016e-112, 7.631812189820828e-34, 4.106387648281383e-09, 0.00048143939358776124, 0.01727682341544465, 0.06770067744397092, 0.10219117875332645, 0.10269536657261549, 0.08742901895324798, 0.07018071467786774, 0.055689929408537446, 0.04457255951901791, 0.03626027353570655, 0.0300474346173001, 0.02535916148727171, 0.021775545888278774, 0.0189992067535518, 0.016822085463013513, 0.015103407807800891, 0.013748249798731496, 0.012684513208936172, 0.011851050016752938, 0.011196077571666404, 0.010677661066751363, 0.010263192679071496, 0.009928114547803343, 0.009654333729066506, 0.009428635549082942, 0.009241308051988636, 0.009085051141286715, 0.008954193010138346, 0.008844213257738629, 0.008751489152289462, 0.008673142810600437, 0.008606913249861318, 0.008551034259736998, 0.008504123074406721, 0.008465082150705355, 0.008433005446542137, 0.008407084502857978, 0.008386532602475323, 0.008370553180649408, 0.008358355185098683, 0.00834919256451274, 0.008342401610334246, 0.008337422150740808, 0.008333801341837125, 0.008331185202344304, 0.008329304001320531, 0.00832795608774409]]"	1.35E-10	8.37E-12	3.59E-10	"[[1e-12, 1.1775020130253656e-12, 1.3865109906787938e-12, 1.6326194826060736e-12, 1.9224127272730903e-12, 2.263644856229647e-12, 2.6654463749849234e-12, 3.1385684721559236e-12, 3.6956706939815455e-12, 4.3516596816421374e-12, 5.124088035134939e-12, 6.03362397629058e-12, 7.104604377920298e-12, 8.365685956749975e-12, 9.850612054411168e-12, 1.1599115523601082e-11, 1.365798187835404e-11, 1.608230115562591e-11, 1.8936941984829673e-11, 2.2298287307681593e-11, 2.6256278191813033e-11, 3.091682042541385e-11, 3.64046182872687e-11, 4.286651131667893e-11, 5.047540336676426e-11, 5.943488907263223e-11, 6.998470152696375e-11, 8.240712692897953e-11, 9.703455784651021e-11, 1.1425838719729251e-10, 1.345394809298436e-10, 1.5842050962627861e-10, 1.8654046898944814e-10, 2.1965177774577185e-10, 2.586404104602465e-10, 3.045496039666471e-10, 3.586077717368048e-10, 4.222613731066302e-10, 4.972136168559141e-10, 5.854700347514616e-10, 6.893921444858768e-10, 8.117606378959969e-10, 9.558497852172912e-10, 1.1255150462432283e-09, 1.3252962326417387e-09, 1.5605389817905804e-09, 1.8375377924629703e-09, 2.1637044496353338e-09, 2.547766345037557e-09, 3.0000000000000012e-09], [3.291785670082725e-23, 2.3865925617345082e-20, 1.07190175142341e-17, 2.9831796171743387e-15, 5.146353157558569e-13, 5.5056041552543315e-11, 3.6546277478868943e-09, 1.5064180269325184e-07, 3.859834871032766e-06, 6.156928064360385e-05, 0.0006127731616359007, 0.003818471691534456, 0.014984813072767148, 0.0374192708775907, 0.06067649718497786, 0.06669171511510269, 0.054585889396298, 0.03982765403699693, 0.03192928263335237, 0.029921651849915677, 0.03062918006839486, 0.032371709514873954, 0.03454961913581636, 0.036934976204750954, 0.03937710208631642, 0.04171145068109981, 0.04374519097538293, 0.04524231156225058, 0.04596733162738526, 0.045818088341218685, 0.044256792545093994, 0.041636688334831425, 0.038751455242588495, 0.033413220326195904, 0.026981430687211143, 0.023448459957086946, 0.019573994090084253, 0.01270247597476862, 0.007267684917951727, 0.005567955355436018, 0.004714815184395696, 0.0028908450563692933, 0.0011436791113123715, 0.00033458894540217644, 0.00015675651030104722, 0.00013497229242014823, 9.179589342793012e-05, 3.953229340995807e-05, 1.055001930000915e-05, 1.7445772325675932e-06]]"																								
