mCA	N_single_mCA	s	lower_95_s	upper_95_s	s_probs_list	mu	lower_95_mu	upper_95_mu	mu_probs_list	
1=	36	0.12	0.11142857	0.14	"[[10.0, 10.142857142857144, 10.285714285714286, 10.428571428571429, 10.571428571428571, 10.714285714285715, 10.857142857142858, 11.000000000000002, 11.142857142857142, 11.285714285714286, 11.428571428571429, 11.571428571428571, 11.714285714285715, 11.857142857142858, 12.000000000000002, 12.142857142857144, 12.285714285714286, 12.428571428571429, 12.571428571428573, 12.714285714285714, 12.85714285714286, 13.0, 13.142857142857146, 13.285714285714286, 13.428571428571429, 13.571428571428573, 13.714285714285715, 13.857142857142858, 14.000000000000002, 14.142857142857142, 14.285714285714288, 14.428571428571429, 14.571428571428575, 14.714285714285715, 14.857142857142858, 15.000000000000002, 15.142857142857144, 15.285714285714286, 15.42857142857143, 15.571428571428573, 15.714285714285714, 15.857142857142858, 16.000000000000004, 16.142857142857146, 16.28571428571429, 16.42857142857143, 16.571428571428573, 16.714285714285715, 16.85714285714286, 17.0], [2.805813243400324e-09, 1.539136847372876e-07, 3.098469851313292e-06, 3.0630781583752684e-05, 0.00018794857613542472, 0.0008198824417091893, 0.0027184436483976924, 0.007140809617286681, 0.01536261719691302, 0.027853464274061098, 0.04362657631019692, 0.060315871490893604, 0.074998484922018, 0.0852490308149462, 0.08984622079466056, 0.08888728221297795, 0.0834379207638901, 0.075008428581706, 0.06509927905158722, 0.054926377534098944, 0.04532338556079948, 0.03676434941308261, 0.029443809275135187, 0.02336874748621576, 0.018437865216514297, 0.01449967741303937, 0.0113900319964291, 0.00895343822437739, 0.007053230007226878, 0.005574813249176609, 0.004425079105401096, 0.0035299937107543186, 0.002831561444722698, 0.0022848074627566826, 0.001855082332787134, 0.0015157945765030148, 0.0012465734436859328, 0.0010318166785122538, 0.0008595616067933486, 0.0007206173821611004, 0.0006079028951322167, 0.000515943911405233, 0.00044049208683756986, 0.00037823656684488717, 0.00032658558609493566, 0.00028350085433372085, 0.0002473717064210473, 0.00021691921309426092, 0.00019112289203374258, 0.00016916449931658092]]"	4.62E-10	2.15E-10	6.76E-10	"[[9.000000000000006e-11, 9.504075410504838e-11, 1.0036383267618031e-10, 1.0598504824907852e-10, 1.1192109899391457e-10, 1.181896183183045e-10, 1.248092272484383e-10, 1.317995897439991e-10, 1.391814711111735e-10, 1.4697679968728807e-10, 1.5520873198029368e-10, 1.63901721456616e-10, 1.7308159118169222e-10, 1.8277561052899676e-10, 1.9301257618540432e-10, 2.0382289769354352e-10, 2.1523868778522678e-10, 2.2729385777432227e-10, 2.400242182924132e-10, 2.534675856665065e-10, 2.6766389425478576e-10, 2.8265531507409605e-10, 2.9848638107157906e-10, 3.1520411941255086e-10, 3.3285819117762817e-10, 3.5150103888404434e-10, 3.711880422694165e-10, 3.919776828006861e-10, 4.139317173969626e-10, 4.371153618822768e-10, 4.6159748471325195e-10, 4.8745081155712e-10, 5.147521413278498e-10, 5.435825743220806e-10, 5.740277531325977e-10, 6.061781170549845e-10, 6.401291707431527e-10, 6.759817679118718e-10, 7.138424109289754e-10, 7.538235671872845e-10, 7.960440031959642e-10, 8.406291373838436e-10, 8.877114126626271e-10, 9.374306898568201e-10, 9.899346631689721e-10, 1.0453792989145123e-09, 1.1039292988293505e-09, 1.1657585893266523e-09, 1.2310508381560263e-09, 1.3000000000000005e-09], [1.8194972613100497e-07, 9.16305588494065e-07, 3.823052186840239e-06, 1.3285118031903176e-05, 3.8729638900852465e-05, 9.566201502611943e-05, 0.00020291147771656792, 0.0003763167615277604, 0.0006243478999145057, 0.0009519211993167541, 0.0013713716417758778, 0.0019123203583242766, 0.0026243674619834657, 0.0035744201610262176, 0.004843736738686354, 0.0065265743570843415, 0.008728498373470669, 0.011561465172897138, 0.015133658707457384, 0.019533108094536632, 0.024805157278027283, 0.03092534693190877, 0.037771359253926225, 0.045100024638203305, 0.052537229061748986, 0.0595888591871418, 0.06567869090192324, 0.07021391396335286, 0.07267138901969106, 0.07268965221260752, 0.070146002447984, 0.06519762317834768, 0.0582721399127551, 0.05000534111395374, 0.041138378380047566, 0.032398494168416586, 0.024391717090689203, 0.017531266866004324, 0.012013527357311891, 0.007839086434584693, 0.0048648201908613005, 0.002867871804585456, 0.0016041497948506437, 0.0008504280375529839, 0.0004268415051506081, 0.00020261615079687545, 9.086863265490337e-05, 3.846380051913566e-05, 1.5352014007166847e-05, 5.772185216627408e-06]]"	
10p=	32	0.1372449	0.12112245	0.39520408	"[[10.5, 11.306122448979592, 12.112244897959183, 12.918367346938775, 13.724489795918366, 14.53061224489796, 15.336734693877553, 16.142857142857142, 16.948979591836732, 17.755102040816325, 18.56122448979592, 19.36734693877551, 20.173469387755098, 20.97959183673469, 21.785714285714285, 22.591836734693878, 23.397959183673468, 24.204081632653057, 25.010204081632654, 25.816326530612244, 26.622448979591834, 27.428571428571423, 28.23469387755102, 29.04081632653061, 29.8469387755102, 30.653061224489793, 31.459183673469386, 32.265306122448976, 33.07142857142857, 33.877551020408156, 34.683673469387756, 35.48979591836734, 36.295918367346935, 37.10204081632653, 37.908163265306115, 38.714285714285715, 39.5204081632653, 40.326530612244895, 41.13265306122449, 41.93877551020408, 42.74489795918367, 43.55102040816326, 44.35714285714285, 45.16326530612245, 45.969387755102034, 46.77551020408163, 47.58163265306122, 48.38775510204081, 49.19387755102041, 50.0], [2.1985263656004224e-13, 4.8488580993248534e-05, 0.0363097000153142, 0.2465386906989836, 0.2707206708184282, 0.1616739963199583, 0.08454001562405965, 0.04572206258011022, 0.026766834512712487, 0.017010827029777294, 0.011622409012607846, 0.008436861307702697, 0.006438765533760008, 0.005123359897400102, 0.004224828051837886, 0.0035949358905190305, 0.003145951321563865, 0.0028227564544822444, 0.0025888559749199947, 0.0024191187895597323, 0.002295794882163494, 0.00220615995938649, 0.002141017333043295, 0.002093690937863714, 0.0020593240307769383, 0.0020343803556344014, 0.0020162849013090466, 0.002003163309908906, 0.001993652076091309, 0.001986760032529279, 0.0019817672023569413, 0.001978150958257843, 0.0019755321583959677, 0.0019736358950549235, 0.001972262923090318, 0.0019712688842937844, 0.001970549214892211, 0.001970028190576293, 0.001969650980216691, 0.0019693778851494286, 0.0019691801647282333, 0.0019690370123650667, 0.001968933365531381, 0.001968858320015151, 0.001968803981855384, 0.0019687646362206495, 0.0019687361457635835, 0.0019687155151026023, 0.0019687005755608593, 0.0019686897569550737]]"	2.38E-10	8.00E-11	3.99E-10	"[[6.000000000000003e-11, 6.354581281743145e-11, 6.730117211046723e-11, 7.127846142209174e-11, 7.54907961240458e-11, 7.995206666562487e-11, 8.467698437834328e-11, 8.968112998751277e-11, 9.498100499070409e-11, 1.0059408607251337e-10, 1.0653888273507533e-10, 1.1283499833435622e-10, 1.195031947235031e-10, 1.2656546071641363e-10, 1.3404508459728652e-10, 1.419667309152655e-10, 1.503565218174019e-10, 1.5924212318814443e-10, 1.6865283587940373e-10, 1.786196923320262e-10, 1.891755589073021e-10, 2.0035524426593985e-10, 2.1219561415190274e-10, 2.2473571295961282e-10, 2.3801689248539254e-10, 2.520829482877242e-10, 2.6698026410596617e-10, 2.8275796481377e-10, 2.994680784115615e-10, 3.171657075922827e-10, 3.359092114461231e-10, 3.557603979034388e-10, 3.7678472755044745e-10, 3.9905152948979544e-10, 4.2263422995780427e-10, 4.476105944522983e-10, 4.740629841694159e-10, 5.020786275950464e-10, 5.317499081464613e-10, 5.631746688126897e-10, 5.964565347981685e-10, 6.317052552336365e-10, 6.690370650810734e-10, 7.085750684260958e-10, 7.504496444217225e-10, 7.947988772221791e-10, 8.417690113244208e-10, 8.915149338189362e-10, 9.44200685140048e-10, 1e-09], [0.0001807775059877534, 0.0006135564246004842, 0.0017058090426485515, 0.003892899913139554, 0.007317373609567423, 0.011394415521759668, 0.014851320823631298, 0.016511296801544787, 0.01620475102764634, 0.014865323565791615, 0.0137470109980602, 0.013627532293976926, 0.014647944952968546, 0.016623238387037262, 0.019351170849750507, 0.022716179551335973, 0.02666774565083904, 0.031177934444113122, 0.03615791914054264, 0.04134843140244605, 0.046447740552305085, 0.05146703317073451, 0.056482433726590404, 0.06058659493903325, 0.06191527216989267, 0.05985507763222312, 0.056528361273345165, 0.054461797605417084, 0.05301596443334962, 0.048802024150469595, 0.039910407064049754, 0.028437107680104132, 0.018399932725966694, 0.01210366434663379, 0.008977753865049997, 0.007148743721712695, 0.005344990260995711, 0.0034371092209940788, 0.001835154617894252, 0.0008056824165375592, 0.0002927271565760109, 9.16781865940553e-05, 2.8439403903220714e-05, 1.1146314272171834e-05, 5.6468417849747204e-06, 2.9104990556530615e-06, 1.3053227348626092e-06, 4.848847258352905e-07, 1.473688802325257e-07, 3.654078623445963e-08]]"	
10q-	129	0.125306122	0.121020408	0.130816327	"[[11.0, 11.061224489795919, 11.122448979591837, 11.183673469387754, 11.244897959183673, 11.306122448979592, 11.36734693877551, 11.428571428571429, 11.489795918367347, 11.551020408163264, 11.612244897959185, 11.673469387755102, 11.73469387755102, 11.795918367346939, 11.857142857142858, 11.918367346938776, 11.979591836734695, 12.040816326530612, 12.102040816326532, 12.16326530612245, 12.224489795918368, 12.285714285714286, 12.346938775510205, 12.408163265306122, 12.469387755102042, 12.53061224489796, 12.591836734693878, 12.653061224489798, 12.714285714285714, 12.775510204081634, 12.836734693877553, 12.897959183673471, 12.959183673469388, 13.020408163265307, 13.081632653061225, 13.142857142857146, 13.204081632653061, 13.26530612244898, 13.3265306122449, 13.387755102040819, 13.448979591836736, 13.510204081632654, 13.571428571428573, 13.632653061224492, 13.693877551020408, 13.755102040816327, 13.816326530612248, 13.877551020408166, 13.938775510204081, 14.000000000000002], [3.339874472358084e-22, 2.1398026707547897e-19, 5.07248789427223e-17, 5.048326865542933e-15, 2.4632743380002693e-13, 7.0115092198453116e-12, 1.3529115472239455e-10, 1.9345108657302365e-09, 2.1337942178057235e-08, 1.8551427380391928e-07, 1.293288432893237e-06, 7.344012057502423e-06, 3.447168742673974e-05, 0.00013559284264949982, 0.0004527103451559966, 0.0012984164700521417, 0.003235028551018035, 0.007075475172951051, 0.013718052395838277, 0.023793428145580532, 0.03723557498012971, 0.05299824926851232, 0.06912037753851034, 0.0831797891216455, 0.09296586849986245, 0.09708755915806373, 0.0952803902857315, 0.08833750045245425, 0.07775645861607478, 0.06528023865417475, 0.0524988593047467, 0.040605330979181356, 0.030318274132217875, 0.021929342138378837, 0.015415337813303644, 0.010563186744798149, 0.007075661620077456, 0.004645134313998632, 0.0029959605478089408, 0.0019026175658657287, 0.00119218529049765, 0.0007384902831079506, 0.00045302624418799896, 0.00027566972146542953, 0.0001666464232214605, 0.00010021812335404986, 6.003345214587241e-05, 3.586286672452895e-05, 2.138780924402019e-05, 1.2746210070872689e-05]]"	2.49E-09	1.80E-09	3.11E-09	"[[1e-09, 1.0372432989191825e-09, 1.0758736611527485e-09, 1.1159427455143354e-09, 1.157504134762219e-09, 1.2006134072533579e-09, 1.2453282112660729e-09, 1.2917083420907459e-09, 1.3398158219916332e-09, 1.3897149831467177e-09, 1.4414725536765175e-09, 1.4951577468768892e-09, 1.5508423537751565e-09, 1.6086008391333331e-09, 1.6685104410268235e-09, 1.7306512741317625e-09, 1.7951064368591157e-09, 1.8619621224788082e-09, 1.931307734382482e-09, 2.0032360056390174e-09, 2.0778431230027005e-09, 2.1552288555398575e-09, 2.235496688045976e-09, 2.3187539594317145e-09, 2.4051120062628677e-09, 2.4946863116462405e-09, 2.5875966596604635e-09, 2.683967295538487e-09, 2.7839270918155365e-09, 2.887609720665233e-09, 2.995153832653905e-09, 3.1067032421523694e-09, 3.222407119653043e-09, 3.3424201912495832e-09, 3.466902945545802e-09, 3.596021848270559e-09, 3.72994956488561e-09, 3.868865191484119e-09, 4.012954494288582e-09, 4.162410158068448e-09, 4.317432043809633e-09, 4.478227455980492e-09, 4.645011419751663e-09, 4.81800696854049e-09, 4.997445442264548e-09, 5.183566796703112e-09, 5.3766199243802754e-09, 5.576862987398802e-09, 5.7845637626698205e-09, 6.000000000000003e-09], [1.5931810151802068e-09, 1.5629601952905422e-08, 1.1320888624863836e-07, 6.150779674525088e-07, 2.5654396255155653e-06, 8.490459287445998e-06, 2.329774381837725e-05, 5.5778196745674305e-05, 0.0001222279695356684, 0.0002534875164998911, 0.0005055638728331335, 0.0009739089021925537, 0.0018112240672867623, 0.0032460690976768183, 0.005594933499846423, 0.009255440562989442, 0.014665095159640883, 0.022212031382064484, 0.03209574958358621, 0.04415845317900014, 0.05773645228725268, 0.07160299395260411, 0.08407068073680991, 0.09328042815495723, 0.09762981239160867, 0.09621592413063149, 0.08913001844748072, 0.07747595153373461, 0.06308736977220947, 0.04804304111238441, 0.03416050555009211, 0.022642793750521237, 0.013969044415693174, 0.008008774099706363, 0.004260613740577172, 0.0021001066866067164, 0.0009577272790075585, 0.0004035093150365256, 0.00015684395430182654, 5.6167739630686334e-05, 1.8506502473422098e-05, 5.602783899472652e-06, 1.5565379453123054e-06, 3.9631099523666137e-07, 9.236068417489729e-08, 1.9677791267019128e-08, 3.8280412589833175e-09, 6.791564520850431e-10, 1.0976066467151564e-10, 1.6140114003902573e-11]]"	
10q=	64	0.12132653	0.11561225	0.13193878	"[[10.5, 10.581632653061224, 10.66326530612245, 10.744897959183673, 10.826530612244897, 10.908163265306122, 10.989795918367347, 11.071428571428571, 11.153061224489795, 11.23469387755102, 11.316326530612244, 11.39795918367347, 11.479591836734693, 11.561224489795919, 11.642857142857142, 11.724489795918366, 11.806122448979592, 11.887755102040815, 11.96938775510204, 12.051020408163266, 12.13265306122449, 12.214285714285714, 12.295918367346937, 12.377551020408163, 12.459183673469386, 12.540816326530614, 12.622448979591836, 12.704081632653061, 12.785714285714283, 12.867346938775508, 12.948979591836734, 13.03061224489796, 13.112244897959183, 13.193877551020408, 13.27551020408163, 13.357142857142856, 13.438775510204081, 13.520408163265305, 13.60204081632653, 13.683673469387756, 13.765306122448978, 13.846938775510203, 13.928571428571429, 14.010204081632653, 14.091836734693878, 14.1734693877551, 14.255102040816325, 14.33673469387755, 14.418367346938776, 14.499999999999998], [1.6908957449284313e-10, 3.89282334761575e-09, 5.103013795098444e-08, 4.334476104516191e-07, 2.6818572174238034e-06, 1.3116862189781385e-05, 5.3016385415357075e-05, 0.0001812478876444233, 0.0005323844645548916, 0.0013615492666565335, 0.0030685944251650343, 0.00616263067080987, 0.011141802132331529, 0.018306289008215473, 0.0275722567490359, 0.03837487175669622, 0.04971948970989566, 0.060375667145543876, 0.06914652444732444, 0.07511974575104476, 0.07782445066063597, 0.07726350991915967, 0.0738373840767834, 0.06820403661539826, 0.06112473663083196, 0.05333370816306583, 0.04545089913499968, 0.03794020616830118, 0.0311046313772223, 0.025105523455187087, 0.019993530738426323, 0.015741866946680592, 0.012276086074074719, 0.009497666447348927, 0.007300879253384081, 0.00558366751340792, 0.004253797261862929, 0.0032316184584680716, 0.0024506056192665797, 0.0018565884364212162, 0.001406319897869925, 0.0010658064073146305, 0.0008086545477589344, 0.0006145699926374806, 0.00046806645895978896, 0.00035739584274596203, 0.0002736851958489832, 0.00021025443776730594, 0.00016208517607356989, 0.00012541203269411067]]"	9.65E-10	5.74E-10	1.36E-09	"[[3.000000000000001e-10, 3.1326615324427387e-10, 3.271189425615494e-10, 3.4158430929863567e-10, 3.566893419419527e-10, 3.72462326844623e-10, 3.8893280119675476e-10, 4.061316083380891e-10, 4.2409095551661063e-10, 4.428444742012567e-10, 4.624272830617024e-10, 4.828760537331327e-10, 5.04229079489179e-10, 5.265263469515875e-10, 5.498096109709454e-10, 5.7412247281866e-10, 5.995104618366391e-10, 6.260211206975397e-10, 6.537040944352915e-10, 6.826112234125812e-10, 7.127966403994229e-10, 7.443168719445636e-10, 7.772309442296137e-10, 8.116004936040825e-10, 8.474898820083491e-10, 8.849663175006631e-10, 9.240999801139444e-10, 9.649641532780134e-10, 1.0076353610534034e-09, 1.0521935114336818e-09, 1.098722045984714e-09, 1.1473080961010268e-09, 1.198042646171934e-09, 1.2510207039629077e-09, 1.3063414785313446e-09, 1.3641085660098323e-09, 1.4244301436048753e-09, 1.4874191721742923e-09, 1.5531936077627422e-09, 1.6218766224914252e-09, 1.6935968352156798e-09, 1.7684885523823072e-09, 1.8466920195377986e-09, 1.9283536839583513e-09, 2.013626468893514e-09, 2.102670059937071e-09, 2.195651204061309e-09, 2.2927440218748047e-09, 2.394130333688417e-09, 2.4999999999999992e-09], [2.509362338143144e-08, 1.6375875237213848e-07, 8.632610234437542e-07, 3.7004062320545433e-06, 1.3016214651732058e-05, 3.8045882210333695e-05, 9.400536793677797e-05, 0.0002008136368686199, 0.0003812705257368777, 0.0006632247923098961, 0.0010874075251114349, 0.0017167258971318568, 0.002641851553051067, 0.003982164176954034, 0.005883407005546652, 0.008511381842826309, 0.012038608458974465, 0.01662092861270875, 0.022363139958493643, 0.02927600019417688, 0.037230994702161437, 0.04592345707427427, 0.05485751206772569, 0.06336595253892398, 0.07067301567793206, 0.07599792583702138, 0.07868401687775267, 0.07832636339773272, 0.07486519809719021, 0.06861680142825996, 0.06022839655528282, 0.05056478949496746, 0.04055464613644642, 0.031035694995882258, 0.02263637877605752, 0.015717597272198194, 0.01037817051413099, 0.00650945829399559, 0.0038743970833014516, 0.002186029178298077, 0.0011680695912122496, 0.000590502160803766, 0.0002821653114371491, 0.00012732519060930464, 5.420786976782764e-05, 2.1755318815860282e-05, 8.22337714191496e-06, 2.92517254786511e-06, 9.783898396844203e-07, 3.0745396898058083e-07]]"	
11=	10	0.10510204	0.08755102	0.47367347	"[[7.000000000000001, 7.877551020408164, 8.755102040816327, 9.63265306122449, 10.510204081632654, 11.387755102040817, 12.26530612244898, 13.142857142857142, 14.020408163265309, 14.897959183673471, 15.775510204081634, 16.653061224489797, 17.53061224489796, 18.408163265306122, 19.285714285714285, 20.16326530612245, 21.040816326530614, 21.918367346938776, 22.79591836734694, 23.6734693877551, 24.551020408163264, 25.428571428571427, 26.30612244897959, 27.183673469387752, 28.061224489795915, 28.938775510204085, 29.816326530612248, 30.69387755102041, 31.571428571428573, 32.44897959183673, 33.326530612244895, 34.20408163265306, 35.08163265306122, 35.95918367346938, 36.836734693877546, 37.71428571428571, 38.59183673469387, 39.469387755102034, 40.3469387755102, 41.224489795918366, 42.10204081632653, 42.97959183673469, 43.857142857142854, 44.73469387755102, 45.61224489795918, 46.48979591836734, 47.367346938775505, 48.24489795918367, 49.12244897959183, 50.0], [3.59936291983627e-13, 0.0004359988707777705, 0.02580110938360031, 0.08934492494230732, 0.10736136884075972, 0.08719621266483531, 0.06298289993313419, 0.045427148075744085, 0.034261265597064744, 0.027305348119743677, 0.022864168383175974, 0.01991085329354203, 0.017863310032759996, 0.016391838718933825, 0.015304170692789542, 0.014483631663389044, 0.01385660663179276, 0.013374845900483616, 0.013005219313766437, 0.012723559071886749, 0.012511107922360988, 0.01235269221903093, 0.012235889395527864, 0.012150631854075599, 0.012088927890544462, 0.012044578354006099, 0.01201287577288568, 0.011990308997080278, 0.011974296681042412, 0.011962962310179097, 0.01195495346368014, 0.011949301771140767, 0.011945317223126958, 0.011942509927866492, 0.01194053299511273, 0.011939141268690582, 0.0119381617330658, 0.011937472407467646, 0.011936987353194303, 0.011936646054203305, 0.011936405911000359, 0.01193623694302721, 0.011936118053722827, 0.011936034399274223, 0.011935975535872447, 0.011935934115599225, 0.011935904968697137, 0.011935884457841578, 0.011935870023836309, 0.011935859865999522]]"	2.06E-10	1.72E-11	4.90E-10	"[[1e-11, 1.114191384195844e-11, 1.241422440616246e-11, 1.3831821874819981e-11, 1.541129676065603e-11, 1.71711340700082e-11, 1.9131929637674857e-11, 2.1316631165338442e-11, 2.3750806784500612e-11, 2.646294428699078e-11, 2.948478452501976e-11, 3.285169288264784e-11, 3.6603073166094156e-11, 4.0782828756752204e-11, 4.5439876423907626e-11, 5.062871881044174e-11, 5.6410082291468254e-11, 6.285162767093223e-11, 7.00287420336378e-11, 7.802542101995259e-11, 8.693525184868413e-11, 9.686250859269969e-11, 1.0792337252558191e-10, 1.2024729182136134e-10, 1.339784965202442e-10, 1.4927768649036897e-10, 1.6632391214025745e-10, 1.8531666989242065e-10, 2.0647823694200048e-10, 2.3005627262472405e-10, 2.563267168386778e-10, 2.8559701944086255e-10, 3.1820973841302206e-10, 3.5454654890700104e-10, 3.9503271008855103e-10, 4.4014204205619645e-10, 4.904024710813789e-10, 5.464022080672241e-10, 6.08796632534086e-10, 6.783159626969191e-10, 7.557738013994169e-10, 8.420766579201677e-10, 9.38234557087082e-10, 1.0453728598612307e-09, 1.1647454337295527e-09, 1.2977493270429138e-09, 1.4459411190371693e-09, 1.611055136885705e-09, 1.7950237529825087e-09, 2e-09], [3.277298873199219e-05, 0.00017879628317369554, 0.0007917533682616587, 0.0028472734983761992, 0.008321287742495338, 0.019785253439574574, 0.03833603550705273, 0.06069645465145095, 0.07888900634698616, 0.08487323128003385, 0.07677075369950395, 0.06015366435062054, 0.04312959869055405, 0.030793436313025595, 0.023868404910539386, 0.02074548974315014, 0.019671180992477215, 0.019572838995464508, 0.019952578919242056, 0.020587517727419877, 0.02135567599006895, 0.022199004283489084, 0.023068233811607528, 0.023798631891758466, 0.024205534291752723, 0.0244176091806218, 0.024739536186366158, 0.024919919224323343, 0.02411173230612895, 0.022082710985777267, 0.01994193065399742, 0.018925952642631468, 0.018713301934011713, 0.017662882152982232, 0.014748911714165402, 0.010736557180404376, 0.007334906593025351, 0.0055743943180144445, 0.00514549601527598, 0.005004921272206268, 0.004367817674309839, 0.003186015510077067, 0.0019025167918055562, 0.0009319906023318917, 0.0003908151835789938, 0.00016931222105741244, 0.00010890576014603187, 9.936040871075544e-05, 8.966942475714285e-05, 6.842434648180614e-05]]27/06/2023 17:17:44"	11p-
11p-	28	0.13857143	0.13071429	0.445	"[[11.5, 12.285714285714286, 13.071428571428573, 13.857142857142858, 14.642857142857144, 15.42857142857143, 16.214285714285715, 17.0, 17.78571428571429, 18.571428571428573, 19.357142857142858, 20.142857142857146, 20.92857142857143, 21.714285714285715, 22.500000000000004, 23.28571428571429, 24.071428571428573, 24.85714285714286, 25.642857142857146, 26.42857142857143, 27.21428571428571, 28.000000000000004, 28.78571428571429, 29.57142857142857, 30.35714285714286, 31.142857142857146, 31.928571428571427, 32.714285714285715, 33.5, 34.285714285714285, 35.07142857142858, 35.85714285714286, 36.642857142857146, 37.42857142857143, 38.214285714285715, 39.0, 39.785714285714285, 40.57142857142858, 41.35714285714286, 42.142857142857146, 42.92857142857143, 43.714285714285715, 44.5, 45.285714285714285, 46.07142857142858, 46.85714285714286, 47.64285714285714, 48.42857142857143, 49.214285714285715, 50.0], [1.1532105212487492e-10, 0.00027903526464760576, 0.05288373420246133, 0.21464968475936258, 0.20965646162926863, 0.1322814582242684, 0.07791531676832276, 0.04820629014050111, 0.03213486710590144, 0.022977132805877366, 0.017412253646028424, 0.013810267291059901, 0.01133835364542743, 0.009553689444124111, 0.008214529663268015, 0.007185815395719297, 0.0063883222936680206, 0.005770824852894882, 0.005295936996837021, 0.004933883251679854, 0.004660176212119012, 0.004454764449573345, 0.0043015254079220334, 0.004187750963352434, 0.004103594663183801, 0.004041530339977981, 0.00399586525026339, 0.003962327853452363, 0.00393773276671675, 0.00391971596314459, 0.003906529560302729, 0.0038968850340729434, 0.0038898346892381574, 0.0038846827676395925, 0.003880919193834114, 0.0038781704299275, 0.0038761631578173813, 0.003874697519226939, 0.003873627443142731, 0.003872846209155032, 0.0038722758676415867, 0.003871859494556078, 0.0038715555258913925, 0.0038713336159053834, 0.00387117161065485, 0.003871053337240501, 0.003870966989298026, 0.0038709039481290694, 0.0038708579220258802, 0.003870824317954805]]"	7.28E-10	1.09E-10	1.09E-09	"[[6.000000000000003e-11, 6.63005829621232e-11, 7.326278835195604e-11, 8.095609295275555e-11, 8.945726928505837e-11, 9.885115172998344e-11, 1.0923148310291943e-10, 1.207018501256811e-10, 1.3337671713232408e-10, 1.4738256832412146e-10, 1.6285916997240336e-10, 1.7996096516496341e-10, 1.9885861501439026e-10, 2.197407017082407e-10, 2.428156103960396e-10, 2.683136086926856e-10, 2.9648914454993423e-10, 3.276233854266961e-10, 3.620270240969053e-10, 4.0004337909445566e-10, 4.420518207350008e-10, 4.884715569033087e-10, 5.39765816385086e-10, 5.964464714892923e-10, 6.590791460906884e-10, 7.282888600665163e-10, 8.047662664538331e-10, 8.892745435690082e-10, 9.826570108666834e-10, 1.0858455445379754e-09, 1.1998698768281927e-09, 1.325867871873335e-09, 1.4650968805991958e-09, 1.618946287995241e-09, 1.7889513779741638e-09, 1.9768086541763356e-09, 2.1843927696076867e-09, 2.413775234053931e-09, 2.6672450859551825e-09, 2.9473317350281034e-09, 3.256830203585487e-09, 3.598829018439468e-09, 3.9767410317256885e-09, 4.394337478213472e-09, 4.8557856089643044e-09, 5.365690276890361e-09, 5.929139889200426e-09, 6.551757185299445e-09, 7.239755346860512e-09, 8.000000000000004e-09], [2.2596045896328998e-07, 6.273269740756148e-06, 0.00010209595130851767, 0.0009759609044912317, 0.00549899237850031, 0.018386735452999552, 0.037021360138202564, 0.04650157407756346, 0.03992420817396009, 0.02894489536900569, 0.023513037744124946, 0.023085626761026132, 0.024857472543004966, 0.02767166314617972, 0.031293542229656655, 0.03550438245531387, 0.04017522440523415, 0.046006716937520314, 0.05018149496762658, 0.05253917853782502, 0.061084258482760924, 0.06619196646618025, 0.05441466780496415, 0.04619100651300162, 0.05753400060001446, 0.06318455461686923, 0.04384286257561829, 0.019484811790765125, 0.01047802900217229, 0.013434652390750233, 0.015410051881201557, 0.010720929899018353, 0.004365441104548092, 0.0010413893913052065, 0.0001622319271778549, 6.141159959135379e-05, 7.948013076638628e-05, 7.309184887266322e-05, 3.9489894788020466e-05, 1.2455255990551597e-05, 2.292907618084262e-06, 2.463690270845537e-07, 1.5454023880159646e-08, 5.778556620080494e-10, 3.8743420186899046e-11, 3.388343095619761e-11, 2.4912542516325733e-11, 1.0737689642687658e-11, 2.7013885881470104e-12, 3.9666888600873293e-13]]"	
