mCA	N_single_mCA	N_double_mCA	N_3_or_more_mCA	s	lower_95_s	upper_95_s	s_probs_list	mu	lower_95_mu	upper_95_mu	mu_probs_list
1=	64	6	1	0.115510204	0.108979592	0.125306122	"[[10.0, 10.081632653061225, 10.163265306122451, 10.244897959183675, 10.326530612244898, 10.408163265306122, 10.489795918367347, 10.571428571428571, 10.653061224489797, 10.734693877551022, 10.816326530612246, 10.89795918367347, 10.979591836734695, 11.061224489795919, 11.142857142857142, 11.22448979591837, 11.306122448979593, 11.387755102040817, 11.469387755102042, 11.551020408163266, 11.63265306122449, 11.714285714285715, 11.79591836734694, 11.877551020408164, 11.959183673469388, 12.040816326530612, 12.122448979591837, 12.204081632653061, 12.285714285714286, 12.367346938775512, 12.448979591836736, 12.53061224489796, 12.612244897959185, 12.69387755102041, 12.775510204081634, 12.85714285714286, 12.938775510204081, 13.020408163265307, 13.102040816326532, 13.183673469387758, 13.26530612244898, 13.346938775510205, 13.428571428571429, 13.510204081632654, 13.59183673469388, 13.673469387755102, 13.755102040816327, 13.836734693877553, 13.918367346938776, 14.000000000000002], [6.950528603009126e-08, 4.78597487232214e-07, 2.6874046391178573e-06, 1.2515119352891317e-05, 4.9092213320725806e-05, 0.00016453543870583508, 0.0004773873244807021, 0.0012136267070213046, 0.0027335121313313356, 0.005510774925330945, 0.01003786847530194, 0.01666346747452685, 0.025412394502571992, 0.03586504943538358, 0.047160974470432375, 0.0581420863923312, 0.06759209991583419, 0.07449152160252222, 0.07820853662569258, 0.07857884780213796, 0.07587155360247302, 0.07067297474796146, 0.06373534892548822, 0.05583332114362531, 0.0476559285382177, 0.039744210816332774, 0.032470837754153895, 0.026050603190791107, 0.020568738289614245, 0.01601579549535534, 0.012321269414253634, 0.009381623107970721, 0.007081160628344709, 0.005305986258382697, 0.003952219162636838, 0.002929931402522744, 0.002164199839694099, 0.0015944079166715442, 0.0011726329503722057, 0.0008616803266692438, 0.0006331077555552605, 0.00046542524940693255, 0.0003425519454997962, 0.0002525471820177021, 0.00018659832113725538, 0.00013823170392889122, 0.00010270837220470833, 7.656767774915461e-05, 5.728633351227524e-05, 4.302588376554668e-05]]"	6.47E-10	4.24E-10	8.58E-10	"[[2.0000000000000003e-10, 2.096226268309375e-10, 2.1970822839751149e-10, 2.3027907986528965e-10, 2.4135852812786533e-10, 2.529710433710592e-10, 2.651422731180222e-10, 2.7789909887462725e-10, 2.912696955002489e-10, 3.052835934350473e-10, 3.199717439212115e-10, 3.3536658736220205e-10, 3.5150212497095793e-10, 3.684139938653433e-10, 3.8613954577665075e-10, 4.047179295450312e-10, 4.241901775840386e-10, 4.4459929650523825e-10, 4.659903621030745e-10, 4.88410618909731e-10, 5.119095845399067e-10, 5.365391590559456e-10, 5.623537395948451e-10, 5.894103405103621e-10, 6.17768719295497e-10, 6.474915085635281e-10, 6.78644354379066e-10, 7.112960612446244e-10, 7.455187440629877e-10, 7.813879874109242e-10, 8.18983012476084e-10, 8.583868520257558e-10, 8.996865337938907e-10, 9.42973272691478e-10, 9.883426722647678e-10, 1.0358949358462405e-09, 1.085735087864772e-09, 1.137973205803661e-09, 1.1927246633189274e-09, 1.2501103850547954e-09, 1.3102571137190993e-09, 1.3732976900085998e-09, 1.439371346002306e-09, 1.5086240126709217e-09, 1.5812086421815405e-09, 1.6572855457093722e-09, 1.7370227475027044e-09, 1.8205963559830457e-09, 1.908190952699985e-09, 2e-09], [9.046093681610636e-11, 1.1610281343393103e-09, 1.1495546950246273e-08, 8.828151510728074e-08, 5.298237275328117e-07, 2.5114223284786807e-06, 9.54435175538838e-06, 2.9696246425271595e-05, 7.779966955682632e-05, 0.00017768744901950815, 0.0003672986424256841, 0.0007102921386617012, 0.0013139287531467663, 0.002349069536152502, 0.004067579171293791, 0.006810788612922014, 0.010997050886915572, 0.017071465889203614, 0.02540321718241294, 0.03613005225644678, 0.048976131257531225, 0.06310257976873983, 0.07707336081761883, 0.08901039164963236, 0.09695659420301027, 0.09937349898020907, 0.09561168155870375, 0.08616320652288695, 0.07257014539371524, 0.05700381355346994, 0.041674692507683284, 0.02830108056501358, 0.01781806665647394, 0.010380871383664338, 0.005586425665498594, 0.0027720044368760547, 0.00126609553278684, 0.0005314028904088075, 0.00020462402032579325, 7.217239431032204e-05, 2.3279976345482393e-05, 6.8561874526140475e-06, 1.84003948334962e-06, 4.486682880764652e-07, 9.88583936538724e-08, 1.9489257206791655e-08, 3.3840061318795005e-09, 5.0673129373025e-10, 6.39051900135651e-11, 6.632570797352021e-12]]"
10p=	37	2	1	0.131632653	0.122755102	0.173061224	"[[10.5, 10.795918367346937, 11.091836734693878, 11.387755102040815, 11.683673469387754, 11.979591836734693, 12.275510204081632, 12.571428571428573, 12.867346938775508, 13.16326530612245, 13.459183673469388, 13.755102040816325, 14.051020408163264, 14.346938775510203, 14.642857142857144, 14.938775510204083, 15.23469387755102, 15.53061224489796, 15.826530612244898, 16.122448979591837, 16.418367346938776, 16.714285714285715, 17.01020408163265, 17.306122448979593, 17.602040816326532, 17.89795918367347, 18.19387755102041, 18.489795918367346, 18.785714285714285, 19.081632653061227, 19.377551020408163, 19.673469387755105, 19.96938775510204, 20.26530612244898, 20.561224489795922, 20.857142857142858, 21.153061224489797, 21.448979591836736, 21.744897959183675, 22.040816326530614, 22.336734693877553, 22.632653061224488, 22.92857142857143, 23.22448979591837, 23.520408163265305, 23.816326530612248, 24.112244897959183, 24.408163265306126, 24.704081632653065, 25.0], [1.4722050274501864e-13, 2.3037590820908445e-09, 1.267810672284279e-06, 9.671060579686249e-05, 0.0018496938083986043, 0.012975247333464654, 0.04418841773272647, 0.08989660897194975, 0.12728575448729734, 0.14029199322080838, 0.13057115321171878, 0.10881207630936837, 0.08465367409739456, 0.06331139847897589, 0.04644912014748921, 0.03389067582717009, 0.02481446636334188, 0.018337150033841478, 0.013722820938816216, 0.01041933510297039, 0.008032769382730006, 0.006288756128783782, 0.0049979925016282655, 0.0040299689173997075, 0.003294303881062707, 0.0027279214363901023, 0.0022863769324238618, 0.0019380186872549696, 0.0016600538324615952, 0.0014358839369101072, 0.001253287117670769, 0.0011031666052103753, 0.0009786807978734843, 0.0008746323035444982, 0.0007870343992506427, 0.0007128002140260869, 0.0006495176662040702, 0.0005952849490651689, 0.0005485892172819345, 0.0005082164140290658, 0.00047318376312830275, 0.0004426889014974747, 0.00041607132008226056, 0.00039278296498754896, 0.0003723656893081199, 0.0003544338490563852, 0.00033866077563431997, 0.00032476818043000386, 0.00031251778666805237, 0.00030170466189846293]]"	2.99E-10	1.27E-10	4.23E-10	"[[6.000000000000003e-11, 6.354581281743145e-11, 6.730117211046723e-11, 7.127846142209174e-11, 7.54907961240458e-11, 7.995206666562487e-11, 8.467698437834328e-11, 8.968112998751277e-11, 9.498100499070409e-11, 1.0059408607251337e-10, 1.0653888273507533e-10, 1.1283499833435622e-10, 1.195031947235031e-10, 1.2656546071641363e-10, 1.3404508459728652e-10, 1.419667309152655e-10, 1.503565218174019e-10, 1.5924212318814443e-10, 1.6865283587940373e-10, 1.786196923320262e-10, 1.891755589073021e-10, 2.0035524426593985e-10, 2.1219561415190274e-10, 2.2473571295961282e-10, 2.3801689248539254e-10, 2.520829482877242e-10, 2.6698026410596617e-10, 2.8275796481377e-10, 2.994680784115615e-10, 3.171657075922827e-10, 3.359092114461231e-10, 3.557603979034388e-10, 3.7678472755044745e-10, 3.9905152948979544e-10, 4.2263422995780427e-10, 4.476105944522983e-10, 4.740629841694159e-10, 5.020786275950464e-10, 5.317499081464613e-10, 5.631746688126897e-10, 5.964565347981685e-10, 6.317052552336365e-10, 6.690370650810734e-10, 7.085750684260958e-10, 7.504496444217225e-10, 7.947988772221791e-10, 8.417690113244208e-10, 8.915149338189362e-10, 9.44200685140048e-10, 1e-09], [7.404843626562078e-08, 5.457075952381528e-07, 3.211075360535519e-06, 1.5134215402158463e-05, 5.738485544246592e-05, 0.0001761478583696115, 0.00044170938003948933, 0.0009169690577026881, 0.001606932158996401, 0.002444025449883907, 0.003346389534740808, 0.0043017845843631546, 0.005394935874562437, 0.006767080977369757, 0.008566255291161852, 0.010929655823113085, 0.013988502791315333, 0.01787015863719561, 0.022685639355589433, 0.0285025657838352, 0.0353070548877887, 0.04295975024098979, 0.05115490500867268, 0.05939622984517613, 0.06700626695077119, 0.07318405270867183, 0.07711621868944266, 0.07812948320330657, 0.07585203288906767, 0.0703364087453866, 0.06209677683095827, 0.052033995549667575, 0.04125994509558565, 0.030869846645674562, 0.02173105069492742, 0.014354128159454005, 0.008873803407189655, 0.005121618843544527, 0.002752577820539035, 0.0013742788455530233, 0.0006362645090154642, 0.0002725865456352271, 0.00010773350165897964, 3.919868746373225e-05, 1.3129742001754087e-05, 4.04377188782939e-06, 1.1396065149707798e-06, 2.9268515369855046e-07, 6.865576185299391e-08, 1.477206354701656e-08]]"
10q-	252	8	19	0.115561224	0.112806122	0.119234694	"[[10.5, 10.545918367346939, 10.591836734693876, 10.637755102040817, 10.683673469387754, 10.729591836734693, 10.775510204081632, 10.821428571428571, 10.86734693877551, 10.91326530612245, 10.959183673469388, 11.005102040816327, 11.051020408163264, 11.096938775510203, 11.142857142857142, 11.188775510204081, 11.23469387755102, 11.28061224489796, 11.326530612244898, 11.372448979591837, 11.418367346938775, 11.464285714285714, 11.510204081632653, 11.556122448979592, 11.60204081632653, 11.64795918367347, 11.693877551020408, 11.739795918367346, 11.785714285714285, 11.831632653061225, 11.877551020408163, 11.923469387755102, 11.96938775510204, 12.01530612244898, 12.061224489795919, 12.107142857142858, 12.153061224489797, 12.198979591836736, 12.244897959183673, 12.290816326530612, 12.336734693877553, 12.38265306122449, 12.428571428571429, 12.474489795918368, 12.520408163265307, 12.566326530612246, 12.612244897959185, 12.658163265306122, 12.704081632653061, 12.75], [2.895228644689677e-20, 1.9521240053837288e-17, 5.466501901609919e-15, 6.705040541441395e-13, 3.826403862401645e-11, 1.0932497241984515e-09, 1.718040154412361e-08, 1.6727191044169807e-07, 1.149993379047036e-06, 6.215870375151222e-06, 2.8041161191384223e-05, 0.00010817648560004305, 0.00036086632480890205, 0.0010495420917830415, 0.0026813948075175885, 0.006060729671648274, 0.012202058959818003, 0.022023143828514554, 0.035852379043359486, 0.052950636396694055, 0.07134036117836619, 0.08814291186403889, 0.10036707253841742, 0.10582863906869093, 0.10379527105717824, 0.09509809896912505, 0.08172438596456993, 0.06612954617372854, 0.05057073052081707, 0.03667583287032526, 0.02530932587978394, 0.016671437696409334, 0.010513863453632092, 0.006366336608521848, 0.003711380701927118, 0.0020884458457687623, 0.0011371592053060458, 0.0006005459978474006, 0.00030829428313859495, 0.00015416968589973594, 7.525248301144162e-05, 3.5921288414664625e-05, 1.679632227692679e-05, 7.701038279675217e-06, 3.459531138219615e-06, 1.51553955578131e-06, 6.403757122631922e-07, 2.5640838717571876e-07, 9.518170302983331e-08, 3.204883690228538e-08]]"	5.37E-09	4.29E-09	6.43E-09	"[[3.0000000000000012e-09, 3.0680216727829418e-09, 3.137585661555266e-09, 3.208726936621519e-09, 3.281481261199064e-09, 3.3558852093966086e-09, 3.4319761846001564e-09, 3.509792438276062e-09, 3.5893730892002134e-09, 3.670758143123355e-09, 3.7539885128823054e-09, 3.839106038967022e-09, 3.926153510554231e-09, 4.015174687017719e-09, 4.106214319926607e-09, 4.199318175542164e-09, 4.294533057824875e-09, 4.39190683196317e-09, 4.491488448435471e-09, 4.593327967618083e-09, 4.697476584950746e-09, 4.8039866566730946e-09, 4.912911726144371e-09, 5.0243065507601055e-09, 5.138227129479101e-09, 5.254730730974365e-09, 5.373875922422631e-09, 5.4957225989463275e-09, 5.620332013723441e-09, 5.7477668087797675e-09, 5.878091046479565e-09, 6.01137024173022e-09, 6.147671394916888e-09, 6.287063025584248e-09, 6.4296152068815605e-09, 6.575399600789132e-09, 6.724489494143118e-09, 6.876959835477398e-09, 7.032887272700821e-09, 7.192350191628446e-09, 7.355428755386869e-09, 7.522204944712557e-09, 7.692762599164376e-09, 7.86718745927011e-09, 8.045567209628919e-09, 8.227991522991096e-09, 8.414552105336965e-09, 8.605342741978377e-09, 8.800459344704976e-09, 9.000000000000006e-09], [3.2340838970719764e-07, 7.87351770721164e-07, 1.8503673532962027e-06, 4.220860949343333e-06, 9.358692777624512e-06, 2.016645383216492e-05, 4.2206215998473206e-05, 8.573289774617976e-05, 0.00016890022413198238, 0.0003224884628857024, 0.0005963372928187618, 0.0010672329734584256, 0.001847203042792756, 0.0030900092927775226, 0.004992283074664468, 0.007784670778885097, 0.011708279415618156, 0.016973467106701622, 0.023702177709752716, 0.03186135870330406, 0.041202103820492414, 0.051224384115792665, 0.06118739779943179, 0.07017834480356723, 0.0772379077778175, 0.0815223609308917, 0.08246633999280292, 0.07990380484712431, 0.07411193563372984, 0.06576277047487121, 0.05579389135740833, 0.04523277150089749, 0.0350208856406408, 0.02587961323825661, 0.018243008371393702, 0.012260165991367615, 0.007850775228046785, 0.004787424998089209, 0.002778583525306221, 0.0015340431350073312, 0.0008052055139692973, 0.0004016013469004096, 0.0001902255295526558, 8.552545409171256e-05, 3.6479123066345974e-05, 1.4753226258035027e-05, 5.654525218754816e-06, 2.052799065229796e-06, 7.055279314796763e-07, 2.294444016193102e-07]]"
10q=	74	9	4	0.121326531	0.115612245	0.131122449	"[[10.5, 10.581632653061224, 10.66326530612245, 10.744897959183673, 10.826530612244897, 10.908163265306122, 10.989795918367347, 11.071428571428571, 11.153061224489795, 11.23469387755102, 11.316326530612244, 11.39795918367347, 11.479591836734693, 11.561224489795919, 11.642857142857142, 11.724489795918366, 11.806122448979592, 11.887755102040815, 11.96938775510204, 12.051020408163266, 12.13265306122449, 12.214285714285714, 12.295918367346937, 12.377551020408163, 12.459183673469386, 12.540816326530614, 12.622448979591836, 12.704081632653061, 12.785714285714283, 12.867346938775508, 12.948979591836734, 13.03061224489796, 13.112244897959183, 13.193877551020408, 13.27551020408163, 13.357142857142856, 13.438775510204081, 13.520408163265305, 13.60204081632653, 13.683673469387756, 13.765306122448978, 13.846938775510203, 13.928571428571429, 14.010204081632653, 14.091836734693878, 14.1734693877551, 14.255102040816325, 14.33673469387755, 14.418367346938776, 14.499999999999998], [2.704214836959942e-11, 5.996435279929787e-10, 8.342144000728638e-09, 8.214968942914906e-08, 6.187916166023295e-07, 3.7131453023280515e-06, 1.8169209650370142e-05, 7.380183246475318e-05, 0.0002528172320243657, 0.0007410669391825729, 0.0018837606805408409, 0.004204010146922789, 0.008331180661357119, 0.014815128559973339, 0.02387032891160684, 0.03515911661839971, 0.04773272351765262, 0.0601849614203401, 0.07097276458403813, 0.07878230781155762, 0.08280957599727393, 0.0828753579861299, 0.07936931364927872, 0.07307627581133977, 0.0649603596139319, 0.05597181460756028, 0.04691371917199616, 0.03837693235658802, 0.030731951007633183, 0.024157773064284866, 0.018688046139607475, 0.014259621036152768, 0.010754657485101514, 0.008032566283210838, 0.005951537752627046, 0.004381253591635725, 0.003209029392313619, 0.0023415668097802175, 0.0017040911718815878, 0.001238161259890376, 0.0008989952154481107, 0.000652811561896761, 0.00047444242361226587, 0.0003453211066478539, 0.0002518559769435732, 0.00018415618605825893, 0.00013505576427574106, 9.93792020012554e-05, 7.339618875913336e-05, 5.4421004990158866e-05]]"	9.65E-10	6.26E-10	1.25E-09	"[[3.000000000000001e-10, 3.1326615324427387e-10, 3.271189425615494e-10, 3.4158430929863567e-10, 3.566893419419527e-10, 3.72462326844623e-10, 3.8893280119675476e-10, 4.061316083380891e-10, 4.2409095551661063e-10, 4.428444742012567e-10, 4.624272830617024e-10, 4.828760537331327e-10, 5.04229079489179e-10, 5.265263469515875e-10, 5.498096109709454e-10, 5.7412247281866e-10, 5.995104618366391e-10, 6.260211206975397e-10, 6.537040944352915e-10, 6.826112234125812e-10, 7.127966403994229e-10, 7.443168719445636e-10, 7.772309442296137e-10, 8.116004936040825e-10, 8.474898820083491e-10, 8.849663175006631e-10, 9.240999801139444e-10, 9.649641532780134e-10, 1.0076353610534034e-09, 1.0521935114336818e-09, 1.098722045984714e-09, 1.1473080961010268e-09, 1.198042646171934e-09, 1.2510207039629077e-09, 1.3063414785313446e-09, 1.3641085660098323e-09, 1.4244301436048753e-09, 1.4874191721742923e-09, 1.5531936077627422e-09, 1.6218766224914252e-09, 1.6935968352156798e-09, 1.7684885523823072e-09, 1.8466920195377986e-09, 1.9283536839583513e-09, 2.013626468893514e-09, 2.102670059937071e-09, 2.195651204061309e-09, 2.2927440218748047e-09, 2.394130333688417e-09, 2.4999999999999992e-09], [2.831241851891306e-10, 3.185371836900788e-09, 2.7787935000474004e-08, 1.8900925666169904e-07, 1.0101985941486279e-06, 4.289110682352723e-06, 1.4691010958544258e-05, 4.147189200246214e-05, 9.927682320200158e-05, 0.00020867737155885743, 0.00039972200713044677, 0.0007206505746720581, 0.0012494771650607818, 0.0021046451896706802, 0.0034530816276233042, 0.005514051160753804, 0.008553931418493107, 0.012864282288376513, 0.018716076773830984, 0.02628737908512383, 0.035570481440176153, 0.04627683340508182, 0.05777052470903969, 0.06906722874444916, 0.0789282982326267, 0.08605551291024194, 0.08935501228604664, 0.08820261379278387, 0.08262539325359605, 0.07332998572108088, 0.061556109241567104, 0.04879627178207593, 0.036471284981511046, 0.025662898264666632, 0.01697499466657818, 0.010539969172015133, 0.006134625654054261, 0.0033424537318986285, 0.0017025374461413078, 0.0008096966771126499, 0.0003590852218148814, 0.00014831712125148026, 5.69883599848928e-05, 2.0345931187115967e-05, 6.741760117964773e-06, 2.0710611563660115e-06, 5.892062497821937e-07, 1.550736843068672e-07, 3.771861370456041e-08, 8.469774229605792e-09]]"
11=	15	2	0	0.105102041	0.08755102	0.429795918	"[[7.000000000000001, 7.877551020408164, 8.755102040816327, 9.63265306122449, 10.510204081632654, 11.387755102040817, 12.26530612244898, 13.142857142857142, 14.020408163265309, 14.897959183673471, 15.775510204081634, 16.653061224489797, 17.53061224489796, 18.408163265306122, 19.285714285714285, 20.16326530612245, 21.040816326530614, 21.918367346938776, 22.79591836734694, 23.6734693877551, 24.551020408163264, 25.428571428571427, 26.30612244897959, 27.183673469387752, 28.061224489795915, 28.938775510204085, 29.816326530612248, 30.69387755102041, 31.571428571428573, 32.44897959183673, 33.326530612244895, 34.20408163265306, 35.08163265306122, 35.95918367346938, 36.836734693877546, 37.71428571428571, 38.59183673469387, 39.469387755102034, 40.3469387755102, 41.224489795918366, 42.10204081632653, 42.97959183673469, 43.857142857142854, 44.73469387755102, 45.61224489795918, 46.48979591836734, 47.367346938775505, 48.24489795918367, 49.12244897959183, 50.0], [8.968881456125034e-13, 0.0003328472500734606, 0.054657542619229366, 0.2337443065290898, 0.23829044889945977, 0.14480870193354944, 0.07668542878518513, 0.041606017991263324, 0.02467768645111103, 0.01621367199983167, 0.011665495285536977, 0.009023525830608838, 0.007377987941747902, 0.006292908846685185, 0.005544875510515868, 0.005011703902215395, 0.004622657820613027, 0.00433468415877994, 0.004120217700322696, 0.0039605701471887, 0.0038423091071041193, 0.003755331701412011, 0.0036918595704059456, 0.00364588186814057, 0.003612791735112444, 0.0035891047682850715, 0.003572222121415705, 0.0035602298978844238, 0.003551733617939105, 0.0035457259755643233, 0.003541484244081818, 0.003538492568479388, 0.0035363842003555703, 0.0035348991685841113, 0.003533853595060119, 0.0035331176315703348, 0.0035325996910627305, 0.0035322352278225086, 0.0035319787805014927, 0.003531798342670157, 0.003531671387002828, 0.0035315820608699112, 0.003531519209970235, 0.0035314749863890153, 0.0035314438686883205, 0.003531421972265516, 0.003531406564088978, 0.0035313957212839415, 0.003531388090941223, 0.003531382721143439]]"	2.30E-10	2.95E-11	5.46E-10	"[[1e-11, 1.114191384195844e-11, 1.241422440616246e-11, 1.3831821874819981e-11, 1.541129676065603e-11, 1.71711340700082e-11, 1.9131929637674857e-11, 2.1316631165338442e-11, 2.3750806784500612e-11, 2.646294428699078e-11, 2.948478452501976e-11, 3.285169288264784e-11, 3.6603073166094156e-11, 4.0782828756752204e-11, 4.5439876423907626e-11, 5.062871881044174e-11, 5.6410082291468254e-11, 6.285162767093223e-11, 7.00287420336378e-11, 7.802542101995259e-11, 8.693525184868413e-11, 9.686250859269969e-11, 1.0792337252558191e-10, 1.2024729182136134e-10, 1.339784965202442e-10, 1.4927768649036897e-10, 1.6632391214025745e-10, 1.8531666989242065e-10, 2.0647823694200048e-10, 2.3005627262472405e-10, 2.563267168386778e-10, 2.8559701944086255e-10, 3.1820973841302206e-10, 3.5454654890700104e-10, 3.9503271008855103e-10, 4.4014204205619645e-10, 4.904024710813789e-10, 5.464022080672241e-10, 6.08796632534086e-10, 6.783159626969191e-10, 7.557738013994169e-10, 8.420766579201677e-10, 9.38234557087082e-10, 1.0453728598612307e-09, 1.1647454337295527e-09, 1.2977493270429138e-09, 1.4459411190371693e-09, 1.611055136885705e-09, 1.7950237529825087e-09, 2e-09], [2.7754884424670416e-11, 9.301346358300058e-10, 2.2493973477800692e-08, 3.926552575042557e-07, 4.949177572055834e-06, 4.5065526926550966e-05, 0.00029665890216308945, 0.0014133415187985087, 0.0048817591017262865, 0.012261551939358954, 0.022518208726261774, 0.030566911356652966, 0.03138822244837806, 0.025680438783668602, 0.0186728145545225, 0.014290047922594725, 0.0129474804856851, 0.01352414648638103, 0.015169671655257153, 0.01757328331449279, 0.020694914225169593, 0.024516871568335468, 0.028952002623060927, 0.03412115864878844, 0.039907168084154385, 0.04508530353872316, 0.04954881169224845, 0.055501843022113924, 0.06145255432492642, 0.061166975897963834, 0.054994952605323166, 0.052243964205347826, 0.05582548701942794, 0.05580936320265417, 0.044488070920719984, 0.027793201215699646, 0.016378743293869867, 0.013114619471179785, 0.013110522983428857, 0.011359961399519062, 0.007370831078731275, 0.0034749406005526924, 0.0011950706755951526, 0.00032614743181455736, 0.00011381921104807019, 8.276498590658526e-05, 6.73601097194856e-05, 4.2165488903172856e-05, 1.9161283377108195e-05, 6.281184136408925e-06]]"
11p-	28	7	7	0.138571429	0.130714286	0.445	"[[11.5, 12.285714285714286, 13.071428571428573, 13.857142857142858, 14.642857142857144, 15.42857142857143, 16.214285714285715, 17.0, 17.78571428571429, 18.571428571428573, 19.357142857142858, 20.142857142857146, 20.92857142857143, 21.714285714285715, 22.500000000000004, 23.28571428571429, 24.071428571428573, 24.85714285714286, 25.642857142857146, 26.42857142857143, 27.21428571428571, 28.000000000000004, 28.78571428571429, 29.57142857142857, 30.35714285714286, 31.142857142857146, 31.928571428571427, 32.714285714285715, 33.5, 34.285714285714285, 35.07142857142858, 35.85714285714286, 36.642857142857146, 37.42857142857143, 38.214285714285715, 39.0, 39.785714285714285, 40.57142857142858, 41.35714285714286, 42.142857142857146, 42.92857142857143, 43.714285714285715, 44.5, 45.285714285714285, 46.07142857142858, 46.85714285714286, 47.64285714285714, 48.42857142857143, 49.214285714285715, 50.0], [3.836402887760388e-15, 0.0002767314120647246, 0.05288385629552304, 0.21465018032269667, 0.20965694566471252, 0.13228176362346203, 0.07791549665199819, 0.048206401434724086, 0.0321349412959098, 0.022977185853355897, 0.017412293845828805, 0.013810299174927257, 0.011338379822365123, 0.009553711500750678, 0.008214548627905204, 0.007185831984342749, 0.006388337038332948, 0.005770838166172178, 0.005295949204202415, 0.0049338946100428325, 0.004660186922967272, 0.004454774669666132, 0.004301535258258273, 0.0041877605366172676, 0.004103604029850576, 0.004041539553257065, 0.003995874350075023, 0.003962336869579067, 0.003937741721273068, 0.003919724872487745, 0.0039065384364938855, 0.0038968938859837124, 0.0038898435233816154, 0.003884691588790279, 0.0038809280054881933, 0.0038781792346428917, 0.0038761719574643607, 0.003874706315172359, 0.0038736362363851994, 0.0038728550004239162, 0.0038722846574695403, 0.003871868283332035, 0.0038715643138993055, 0.0038713424033525894, 0.0038711803976926957, 0.0038710621239794814, 0.0038709757758188116, 0.003870912734490555, 0.0038708667082710635, 0.0038708331041150683]]"	7.13E-10	1.05E-10	1.06E-09	"[[6.000000000000003e-11, 6.498664364616256e-11, 7.038773087322197e-11, 7.62377063886675e-11, 8.257387762468504e-11, 8.943665266128734e-11, 9.686979792341156e-11, 1.0492071729540826e-10, 1.1364075443294097e-10, 1.2308552020024332e-10, 1.3331524732092919e-10, 1.443951745040875e-10, 1.563959624953758e-10, 1.6939414470642644e-10, 1.834726152963837e-10, 1.9872115781825926e-10, 2.1523701780146644e-10, 2.3312552292211064e-10, 2.5250075471607497e-10, 2.734862761186776e-10, 2.962159194706752e-10, 3.2083464001601774e-10, 3.4749944033442967e-10, 3.763803716042416e-10, 4.0766161808091797e-10, 4.4154267170737524e-10, 4.782396043470287e-10, 5.179864457530352e-10, 5.6103667606158e-10, 6.076648423273544e-10, 6.581683094104888e-10, 7.128691563809445e-10, 7.721162305344824e-10, 8.362873721193781e-10, 9.057918239617919e-10, 9.810728413568759e-10, 1.0626105188697904e-09, 1.150924852074249e-09, 1.246579053754359e-09, 1.3501831457184112e-09, 1.4623978491309518e-09, 1.5839387981731286e-09, 1.7155811039034675e-09, 1.8581642974244053e-09, 2.01259768387903e-09, 2.1798661414223094e-09, 2.3610364021491158e-09, 2.557263855034694e-09, 2.7697999142725247e-09, 3.0000000000000012e-09], [1.806644688826614e-07, 2.6889559387507037e-06, 2.844033269379868e-05, 0.00021394118186902208, 0.0011461166681632849, 0.004381802201830498, 0.011998758475269015, 0.02368999390914883, 0.03416974969125823, 0.037015685283400206, 0.03196295341907987, 0.024692458735786862, 0.019934867905441953, 0.018336561425123486, 0.018641210948612482, 0.019861422243364672, 0.02160334517328124, 0.023764872016403347, 0.026304593120050318, 0.029057319135471986, 0.03208309645049578, 0.03577914568407875, 0.039148602763021866, 0.04066510572973532, 0.04283572839274249, 0.04874160983494945, 0.053169638915590386, 0.04853431135265551, 0.03923244535468331, 0.037656902873895004, 0.04583779008156446, 0.05123645382908345, 0.04335562704775619, 0.026738225918875112, 0.013180174023004147, 0.008391662039960612, 0.00995706704933398, 0.012288321882008709, 0.011418601720351524, 0.007575934760152501, 0.0035660686776545296, 0.0011917284985036713, 0.0002895255895478937, 6.996358477465602e-05, 5.0574156799205246e-05, 6.332022406781988e-05, 6.228188450840155e-05, 4.370849345544132e-05, 2.1750107872159776e-05, 7.671592221296457e-06]]"
