mCA	gender	observed m lower	observed m higher	observed c lower	observed c higher	expected m lower	expected m higher	expected c lower	expected c higher
8+	M	-6.00E-06	1.75E-05	-0.0008	3.00E-04	-6.00E-06	1.50E-05	-7.00E-04	3.00E-04
8+	F	-1.00E-05	1.80E-05	-7.00E-04	7.00E-04	-5.00E-06	2.00E-05	-1.00E-03	3.00E-04
12+	M	1.00E-05	7.00E-05	-0.003	-0.00025	-5.00E-06	4.00E-05	-1.70E-03	5.00E-04
12+	F	1.00E-05	5.50E-05	-0.0025	-0.0006	1.00E-06	4.50E-05	-2.00E-03	1.00E-04
14q+	M	1.00E-05	4.00E-05	-0.0018	-4.00E-04	1.00E-06	4.00E-05	-1.60E-03	1.00E-05
14q+	F	-1.00E-06	3.00E-05	-0.0012	0.00E+00	1.00E-06	2.50E-05	-1.00E-03	1.00E-04
15q+	M	6.00E-05	1.80E-04	-0.01	-0.003	1.00E-06	1.20E-04	-0.006	0.001
15q+	F	-1.00E-05	4.00E-05	-0.0022	0.00075	-1.00E-05	2.50E-05	-0.0014	0.00075
21q+	M	1.00E-06	3.00E-05	-0.0014	1.00E-04	0.00E+00	3.00E-05	-1.35E-03	-1.00E-06
21q+	F	-2.00E-05	2.00E-05	-1.00E-03	1.35E-03	0.00E+00	4.00E-05	-2.00E-03	1.50E-04
22q+	M	-1.00E-05	3.00E-05	-0.00125	0.0007	2.00E-06	3.00E-05	-1.40E-03	-2.00E-04
22q+	F	1.00E-06	3.50E-05	-0.0015	0	8.00E-06	3.20E-05	-1.50E-03	-2.00E-04
2p-	M	0.00E+00	2.50E-05	-0.001	1.00E-04	2.00E-06	3.00E-05	-1.40E-03	0.00E+00
2p-	F	-1.00E-05	2.50E-05	-0.001	6.00E-04	1.00E-05	4.00E-05	-2.00E-03	-4.00E-04
4q-	M	-1.00E-05	2.50E-05	-0.0012	6.00E-04	0.00E+00	3.50E-05	-1.40E-03	1.00E-04
4q-	F	-1.00E-05	2.50E-05	-0.001	4.00E-04	0.00E+00	2.50E-05	-1.30E-03	2.00E-04
5q-	M	-1.00E-05	2.50E-05	-0.001	6.00E-04	-5.00E-06	2.00E-05	-8.50E-04	3.00E-04
5q-	F	-1.00E-05	3.50E-05	-1.50E-03	6.00E-04	5.00E-06	4.00E-05	-1.70E-03	0.00E+00
7q-	M	0.00E+00	2.50E-05	-0.001	0.00E+00	-5.00E-06	2.00E-05	-1.00E-03	3.00E-04
7q-	F	-1.00E-06	1.80E-05	-8.00E-04	1.00E-04	-2.00E-06	1.70E-05	-8.00E-04	1.50E-04
10q-	M	-1.50E-05	2.50E-05	-0.001	1.00E-03	0.00E+00	2.50E-05	-1.00E-03	0.00E+00
