mCA	N_men	N_women	male_s	male_lower_95_s	male_upper_95_s	female_s	female_lower_95_s	female_upper_95_s	s_p_value	sex_fold_difference_lower_s	sex_fold_difference_upper_s	male_mu	male_lower_95_mu	male_upper_95_mu	female_mu	female_lower_95_mu	female_upper_95_mu	mu_p_value	sex_difference_lower_mu	sex_difference_upper_mu	male_s_probs_list	female_s_probs_list	male_mu_probs_list	female_mu_probs_list
1=	25	39	0.099387755	0.090204082	0.123265306	0.122857143	0.114285714	0.142857143	0.027703333	0.994113697	1.477204863	9.70E-10	3.34E-10	1.59E-09	5.64E-10	3.00E-10	8.25E-10	0.095748837	0.716738341	4.606016157	"[[7.000000000000001, 7.183673469387755, 7.367346938775511, 7.551020408163265, 7.734693877551021, 7.918367346938776, 8.10204081632653, 8.285714285714286, 8.46938775510204, 8.653061224489797, 8.83673469387755, 9.020408163265307, 9.204081632653063, 9.387755102040817, 9.571428571428573, 9.755102040816327, 9.938775510204081, 10.122448979591837, 10.306122448979593, 10.489795918367347, 10.673469387755102, 10.857142857142858, 11.040816326530614, 11.22448979591837, 11.408163265306124, 11.591836734693878, 11.775510204081632, 11.959183673469388, 12.142857142857144, 12.326530612244898, 12.510204081632653, 12.693877551020408, 12.877551020408163, 13.061224489795919, 13.244897959183675, 13.428571428571429, 13.612244897959187, 13.795918367346937, 13.979591836734695, 14.16326530612245, 14.346938775510203, 14.530612244897961, 14.714285714285714, 14.897959183673471, 15.081632653061225, 15.26530612244898, 15.448979591836737, 15.632653061224488, 15.816326530612246, 16.0], [4.308602427281992e-26, 2.3477714200031953e-19, 2.2101914836598998e-14, 7.554636884128713e-11, 1.9742828105134432e-08, 8.981996184661341e-07, 1.51852620679774e-05, 0.0001411270960896146, 0.0008270805806693176, 0.003313690153992347, 0.009692196955243584, 0.021859779421385502, 0.03979151403023969, 0.06072358285957123, 0.08018377612925941, 0.09406174504554193, 0.10019568021571236, 0.09869660876858007, 0.09127318671483517, 0.08024697888559998, 0.06777810888399753, 0.055473857839044016, 0.04431529078793385, 0.03476085512017496, 0.02690758510646821, 0.02064094740380793, 0.015746644477537822, 0.011982344152052996, 0.00911759404546311, 0.006952158385469912, 0.005321398229686926, 0.004094787846941262, 0.0031713980272371246, 0.0024745225303292274, 0.0019465493233952165, 0.0015445412828046202, 0.0012366455180784818, 0.0009992828968904957, 0.000815002478078589, 0.0006708711795491607, 0.0005572790186106637, 0.00046705935114363097, 0.0003948440101666328, 0.0003365916917462692, 0.0002892432008713435, 0.00025046918823167674, 0.00021848517584626266, 0.00019191551545363116, 0.00016969296361420038, 0.00015098423257109962]]"	"[[10.0, 10.142857142857144, 10.285714285714286, 10.428571428571429, 10.571428571428571, 10.714285714285715, 10.857142857142858, 11.000000000000002, 11.142857142857142, 11.285714285714286, 11.428571428571429, 11.571428571428571, 11.714285714285715, 11.857142857142858, 12.000000000000002, 12.142857142857144, 12.285714285714286, 12.428571428571429, 12.571428571428573, 12.714285714285714, 12.85714285714286, 13.0, 13.142857142857146, 13.285714285714286, 13.428571428571429, 13.571428571428573, 13.714285714285715, 13.857142857142858, 14.000000000000002, 14.142857142857142, 14.285714285714288, 14.428571428571429, 14.571428571428575, 14.714285714285715, 14.857142857142858, 15.000000000000002, 15.142857142857144, 15.285714285714286, 15.42857142857143, 15.571428571428573, 15.714285714285714, 15.857142857142858, 16.000000000000004, 16.142857142857146, 16.28571428571429, 16.42857142857143, 16.571428571428573, 16.714285714285715, 16.85714285714286, 17.0], [5.770072288337376e-10, 1.901012196064628e-08, 3.6085087519825945e-07, 4.298571369730099e-06, 3.4282955484767026e-05, 0.00019335197757195343, 0.0008084611378317049, 0.0026109274014940323, 0.0067481898636057676, 0.014396064833296623, 0.026039207344894216, 0.040878817876918654, 0.056847813751059156, 0.07128598022386337, 0.08186866806476022, 0.08728621055528941, 0.08742342942449056, 0.08310825223628397, 0.07566459557607379, 0.0664902825232967, 0.0567768599300493, 0.04738729842705815, 0.03885126068285371, 0.031424129288160935, 0.025166522282678003, 0.0200184150206143, 0.01585678971829879, 0.012535083357222901, 0.009907216072596054, 0.007840338777693662, 0.006220174197715178, 0.004951957602586301, 0.003959054447883924, 0.003180565861445486, 0.0025686805633151305, 0.002086168649683869, 0.0017041914404658193, 0.001400476734429068, 0.0011578447374294193, 0.0009630417612051852, 0.0008058304327315725, 0.0006782867982729408, 0.0005742607055379417, 0.0004889631496955014, 0.00041865135887506327, 0.00036038862159938563, 0.00031186103089128056, 0.0002712374702875183, 0.0002370624229188776, 0.00020817370021551052]]"	"[[9.000000000000006e-11, 9.76897938218665e-11, 1.0603662018843087e-10, 1.1509661737528237e-10, 1.2493072023317315e-10, 1.3560507001773289e-10, 1.4719145923591207e-10, 1.5976781450106628e-10, 1.7341872064421518e-10, 1.8823598960650257e-10, 2.0431927793904696e-10, 2.2177675706331333e-10, 2.407258407999693e-10, 2.612939750593827e-10, 2.836194950049667e-10, 3.0785255545441315e-10, 3.3415614077640354e-10, 3.627071610750826e-10, 3.9369764203488124e-10, 4.27336016428252e-10, 4.638485259725962e-10, 5.034807429648841e-10, 5.464992219279962e-10, 5.931932923772954e-10, 6.438770047650236e-10, 6.988912426904006e-10, 7.586060155814804e-10, 8.234229472686968e-10, 8.937779771874732e-10, 9.701442923774343e-10, 1.0530355099979118e-09, 1.1430091317644486e-09, 1.2406702935397725e-09, 1.3466758352979431e-09, 1.4617387188349534e-09, 1.5866328229380706e-09, 1.7221981482647334e-09, 1.8693464669375774e-09, 2.0290674548529594e-09, 2.202435347947174e-09, 2.3906161671883344e-09, 2.5948755608872105e-09, 2.8165873170719065e-09, 3.0572426031782174e-09, 3.3184599951989583e-09, 3.6019963637455343e-09, 3.909758690237931e-09, 4.2438168926955065e-09, 4.606417747390865e-09, 4.999999999999999e-09], [1.313821689128462e-09, 1.732778074367299e-08, 1.6844388640006875e-07, 1.2130902054340781e-06, 6.519468624524785e-06, 2.64242342909439e-05, 8.204618989378624e-05, 0.00019975160990713274, 0.000394493879839411, 0.0006620003575711236, 0.000997842848091673, 0.0014249296622448147, 0.002000603295885968, 0.0028073351196180596, 0.003947238420933866, 0.005544645778976419, 0.00774856622050687, 0.010728374900595259, 0.014659581535620142, 0.019697665675108167, 0.02593926264534833, 0.03337309194467488, 0.04182788812349259, 0.050930150851652235, 0.06008873919787185, 0.06852343098452382, 0.07534802212054614, 0.0797046464806907, 0.08092739916479308, 0.0786963869943115, 0.07313624636859692, 0.06482223093431223, 0.054682253333680965, 0.043816766084462895, 0.03328653714077459, 0.023928558703301486, 0.016247684872856223, 0.01040214141315668, 0.006268464548085492, 0.003549594477929782, 0.001885681562666728, 0.0009383017177860103, 0.00043665175903206114, 0.0001897563964907883, 7.689507613947144e-05, 2.901569072079952e-05, 1.018106612206206e-05, 3.3176284861334386e-06, 1.0026649402360997e-06, 2.806791509463089e-07]]"	"[[9.000000000000006e-11, 9.587998741164548e-11, 1.021441331784139e-10, 1.0881753559244173e-10, 1.1592693269743941e-10, 1.2350080941890172e-10, 1.3156951169346963e-10, 1.4016536805473558e-10, 1.493228191626293e-10, 1.590785557953811e-10, 1.6947166585693123e-10, 1.805437909888127e-10, 1.923392934139781e-10, 2.049054336810777e-10, 2.1829256002132656e-10, 2.3255431007667378e-10, 2.4774782580750305e-10, 2.6393398244095455e-10, 2.811776323771574e-10, 2.995478650306444e-10, 3.1911828364803827e-10, 3.3996730021110744e-10, 3.6217844960680063e-10, 3.8584072432299057e-10, 4.110489310109831e-10, 4.379040703433689e-10, 4.665137416892277e-10, 4.969925742280286e-10, 5.294626862296069e-10, 5.640541743403385e-10, 6.009056348359744e-10, 6.401647189295531e-10, 6.819887243593897e-10, 7.265452256273599e-10, 7.740127454126895e-10, 8.245814698513531e-10, 8.784540105469275e-10, 9.358462163660981e-10, 9.969880382713011e-10, 1.0621244506557044e-09, 1.1315164328718812e-09, 1.2054420148869543e-09, 1.2841973912536575e-09, 1.3680981078607618e-09, 1.4574803262176133e-09, 1.5527021703385067e-09, 1.6541451616232213e-09, 1.7622157474829846e-09, 1.877346929836354e-09, 2e-09], [5.689589082046795e-18, 3.7538826856971613e-16, 1.8380216994711254e-14, 6.686120798342137e-13, 1.8095219778250553e-11, 3.650126749796585e-10, 5.500975428815809e-09, 6.213552884717548e-08, 5.283154016031747e-07, 3.4019453388835285e-06, 1.6733364829369006e-05, 6.366157306499826e-05, 0.00019076933180034726, 0.000462235354219508, 0.0009389227787050554, 0.0016726816880829486, 0.002740868769795203, 0.004294741935926317, 0.006579165798034646, 0.009920634238711572, 0.014700062660055281, 0.021304905410654, 0.030039284151197665, 0.04098218882870372, 0.05381216930049778, 0.06765284671824784, 0.08102507780991057, 0.0919948515503051, 0.09855582108086579, 0.09918007863572494, 0.09335229658274444, 0.08184741773162399, 0.06658398445820407, 0.05007331944290985, 0.034688035978134614, 0.022061164828145446, 0.012839865911377231, 0.006817865131113919, 0.003293250698019202, 0.0014430384041334236, 0.0005720676816936119, 0.0002046542159945776, 6.590663615866819e-05, 1.9060972468349354e-05, 4.939451177289921e-06, 1.144393970980316e-06, 2.3654429916586245e-07, 4.3529796979822e-08, 7.116609474586794e-09, 1.0310520315258465e-09]]"
10p=	18	19	0.122653061	0.105102041	0.447346939	0.122653061	0.113877551	0.447346939	0.375642312	0.396468218	3.655365537	3.86E-10	7.97E-11	7.69E-10	3.50E-10	6.82E-11	5.84E-10	0.258690526	0.300030003	7.500750075	"[[7.000000000000001, 7.877551020408164, 8.755102040816327, 9.63265306122449, 10.510204081632654, 11.387755102040817, 12.26530612244898, 13.142857142857142, 14.020408163265309, 14.897959183673471, 15.775510204081634, 16.653061224489797, 17.53061224489796, 18.408163265306122, 19.285714285714285, 20.16326530612245, 21.040816326530614, 21.918367346938776, 22.79591836734694, 23.6734693877551, 24.551020408163264, 25.428571428571427, 26.30612244897959, 27.183673469387752, 28.061224489795915, 28.938775510204085, 29.816326530612248, 30.69387755102041, 31.571428571428573, 32.44897959183673, 33.326530612244895, 34.20408163265306, 35.08163265306122, 35.95918367346938, 36.836734693877546, 37.71428571428571, 38.59183673469387, 39.469387755102034, 40.3469387755102, 41.224489795918366, 42.10204081632653, 42.97959183673469, 43.857142857142854, 44.73469387755102, 45.61224489795918, 46.48979591836734, 47.367346938775505, 48.24489795918367, 49.12244897959183, 50.0], [7.886893811518591e-104, 2.785624238987171e-32, 2.930658656047052e-11, 0.00012607240727380986, 0.037010751493432616, 0.205578967318179, 0.2295603184198294, 0.1440089986990082, 0.07948292793036565, 0.04587776322627911, 0.029003025813704897, 0.020034980313900937, 0.014890768965795982, 0.011721834581153901, 0.009650466952020568, 0.008232602797784849, 0.007229172910310683, 0.006503669593442833, 0.005973259419469487, 0.005584242021709874, 0.005299487768849948, 0.005092028391391265, 0.004941737525547899, 0.004833470608907345, 0.004755868416147116, 0.004700482199689291, 0.004661089157318003, 0.004633148433246855, 0.004613373190046969, 0.004599400142378942, 0.004589539130665731, 0.004582586465957639, 0.004577687686885175, 0.004574237733563652, 0.004571808946726441, 0.004570099471615408, 0.0045688964658968535, 0.004568049961415792, 0.004567454346352836, 0.004567035273143802, 0.004566740416418788, 0.004566532955958925, 0.004566386984836053, 0.004566284275832761, 0.004566212005244927, 0.004566161151030777, 0.0045661253657160355, 0.004566100183430525, 0.004566082462052642, 0.0045660699907634425]]"	"[[7.000000000000001, 7.877551020408164, 8.755102040816327, 9.63265306122449, 10.510204081632654, 11.387755102040817, 12.26530612244898, 13.142857142857142, 14.020408163265309, 14.897959183673471, 15.775510204081634, 16.653061224489797, 17.53061224489796, 18.408163265306122, 19.285714285714285, 20.16326530612245, 21.040816326530614, 21.918367346938776, 22.79591836734694, 23.6734693877551, 24.551020408163264, 25.428571428571427, 26.30612244897959, 27.183673469387752, 28.061224489795915, 28.938775510204085, 29.816326530612248, 30.69387755102041, 31.571428571428573, 32.44897959183673, 33.326530612244895, 34.20408163265306, 35.08163265306122, 35.95918367346938, 36.836734693877546, 37.71428571428571, 38.59183673469387, 39.469387755102034, 40.3469387755102, 41.224489795918366, 42.10204081632653, 42.97959183673469, 43.857142857142854, 44.73469387755102, 45.61224489795918, 46.48979591836734, 47.367346938775505, 48.24489795918367, 49.12244897959183, 50.0], [8.812599662811115e-152, 4.865069690619558e-50, 7.816031024952071e-16, 3.4229589701075195e-06, 0.010806864731553274, 0.15181382612800057, 0.23797706306294672, 0.16615822516601395, 0.09382018662408426, 0.05392255101448609, 0.033712879838824164, 0.02302435858404477, 0.016943001699383096, 0.013226582111822874, 0.01081289207180439, 0.009167847882070352, 0.00800642794681575, 0.007167551849591599, 0.006554426839962694, 0.006104742612004905, 0.005775564500409468, 0.005535734332876158, 0.005361993950331975, 0.005236836496397607, 0.005147128877907579, 0.005083102965385165, 0.00503756466329335, 0.005005264734866898, 0.00498240378548364, 0.004966250056798354, 0.004954849865745514, 0.004946811825031718, 0.004941148206331221, 0.0049371595602171955, 0.004934351497810728, 0.004932375055049332, 0.0049309841662072435, 0.004930005450479625, 0.0049293168061393675, 0.004928832276047834, 0.004928491363428433, 0.004928251497658267, 0.004928082725590896, 0.004927963973121553, 0.00492788041356899, 0.004927821615677407, 0.004927780240500843, 0.004927751124594042, 0.004927730635026998, 0.0049277162156422675]]"	"[[4.000000000000001e-11, 4.414221007151588e-11, 4.8713367749946136e-11, 5.375789281272822e-11, 5.93248049385373e-11, 6.546820005121538e-11, 7.224777599161967e-11, 7.97294126255474e-11, 8.798581202488745e-11, 9.709720494288721e-11, 1.0715213044864934e-10, 1.1824829629686877e-10, 1.3049352839338138e-10, 1.4400681858284902e-10, 1.5891948094037058e-10, 1.753764278031525e-10, 1.9353757794197064e-10, 2.1357941055617108e-10, 2.356966801930269e-10, 2.6010430925598716e-10, 2.8703947649210904e-10, 3.167639217533155e-10, 3.495664894278031e-10, 3.8576593525711037e-10, 4.2571402381385564e-10, 4.697989467395381e-10, 5.184490949588418e-10, 5.721372215265119e-10, 6.3138503555892e-10, 6.96768271891334e-10, 7.689222857248619e-10, 8.485482266284251e-10, 9.364198518911087e-10, 1.0333910454328774e-09, 1.1404041153380416e-09, 1.258498950641826e-09, 1.3888231263503497e-09, 1.532643054888414e-09, 1.691356292338355e-09, 1.8665051190545046e-09, 2.0597915266216e-09, 2.2730937567914763e-09, 2.5084845531135134e-09, 2.7682513026172444e-09, 3.0549182632719585e-09, 3.37127109321653e-09, 3.720383920119826e-09, 4.105649213715494e-09, 4.5308107517946e-09, 4.999999999999999e-09], [8.475693284036501e-08, 1.3284431867749867e-06, 1.4998274948292742e-05, 0.00012205321754267099, 0.0007166149448093657, 0.0030402653146050806, 0.00934386762103168, 0.020897315354634752, 0.034305013828912656, 0.042081169281745295, 0.040109142749063686, 0.03230434164367231, 0.025466102829720262, 0.022719816492257044, 0.023426542782588, 0.026164181018998353, 0.030121000562113146, 0.0349949834509373, 0.04066061347974215, 0.04660207064460882, 0.052077945455286774, 0.05756975930513124, 0.06297374967678582, 0.06444496987867905, 0.060093941283153936, 0.055577495224634545, 0.05460830668493081, 0.05099840916704928, 0.03924050905880379, 0.024379964788440043, 0.014482664506996737, 0.01065640446067607, 0.008771327733468967, 0.006113012960370477, 0.0031905874638655904, 0.0012144304643116725, 0.00034682944748734573, 9.133416379245789e-05, 3.729622429369654e-05, 2.2107164320495474e-05, 1.1494001851771463e-05, 4.433019766693734e-06, 1.2343662894358442e-06, 2.472156766001861e-07, 3.5597420132345244e-08, 3.6901672933199986e-09, 2.806515863234142e-10, 1.9514714758543062e-11, 3.1367525228746036e-12, 9.953482339352355e-13]]"	"[[2.0000000000000002e-11, 2.2153381238649736e-11, 2.4538615015248e-11, 2.7180664675062184e-11, 3.010718134332761e-11, 3.3348793315995086e-11, 3.693942660890866e-11, 4.091666002021379e-11, 4.532211842200087e-11, 5.020190839729078e-11, 5.56071007816477e-11, 6.159426515959321e-11, 6.822606190974744e-11, 7.557189799491802e-11, 8.37086533604884e-11, 9.272148554344389e-11, 1.0270472091289354e-10, 1.1376284186962262e-10, 1.260115803364987e-10, 1.3957912898396025e-10, 1.546074828670168e-10, 1.7125392551505152e-10, 1.8969267502751383e-10, 2.1011670740319028e-10, 2.3273977618563452e-10, 2.5779864956191973e-10, 2.855555883277135e-10, 3.1630109065253774e-10, 3.503569323713203e-10, 3.8807953462128406e-10, 4.2986369406915367e-10, 4.761467147684148e-10, 5.274129848897653e-10, 5.84199046223859e-10, 6.47099209512638e-10, 7.167717743781173e-10, 7.939459189450932e-10, 8.79429331263041e-10, 9.741166623960467e-10, 1.0789988896490338e-09, 1.1951736879237448e-09, 1.323856917748885e-09, 1.4663953502157465e-09, 1.624280761995636e-09, 1.7991655479546908e-09, 1.9928800147642287e-09, 2.207451536497893e-09, 2.4451257726940476e-09, 2.7083901709469735e-09, 3.0000000000000012e-09], [1.853119152593563e-18, 3.117820115920261e-16, 3.6026998610117516e-14, 2.859502262416768e-12, 1.559230251509971e-10, 5.842279464650143e-09, 1.5046464262123936e-07, 2.6646727882779416e-06, 3.246870346571653e-05, 0.0002724442304670453, 0.0015764406798865305, 0.006304556344203082, 0.01749720837234177, 0.03396347930265592, 0.046871426620801855, 0.04772885736745216, 0.03904395867989274, 0.03022901024075916, 0.026558213080720802, 0.02744826623575283, 0.0309313097880741, 0.03589711931467597, 0.04187520001643137, 0.04868007396651402, 0.05554371231031047, 0.060881480561495234, 0.06535168163692565, 0.06974172253067472, 0.06854969516614078, 0.0587196120807616, 0.04877573959997054, 0.044376776253284914, 0.03856860043835559, 0.02639697212209422, 0.013565952232997345, 0.006165214801836429, 0.0035772507956285597, 0.002522162960353272, 0.0014903006266664195, 0.000630187110473897, 0.00018453771800056484, 3.764820171033855e-05, 5.93580299258369e-06, 1.2230017854643697e-06, 4.828475835314763e-07, 1.904454277204532e-07, 5.4370853536383065e-08, 1.07159389818439e-08, 1.4503791871116683e-09, 1.3473403303335596e-10]]"
10q-	55	197	0.118367347	0.111938776	0.128469388	0.113928571	0.110714286	0.1175	0.133595598	0.971307131	1.136913691	2.10E-09	1.21E-09	2.98E-09	8.13E-09	6.42E-09	9.99E-09	1.25E-08	2.417075041	7.001866853	"[[10.0, 10.091836734693878, 10.183673469387756, 10.275510204081634, 10.36734693877551, 10.459183673469388, 10.551020408163266, 10.642857142857142, 10.734693877551022, 10.826530612244898, 10.918367346938776, 11.010204081632653, 11.10204081632653, 11.193877551020408, 11.285714285714286, 11.377551020408164, 11.46938775510204, 11.561224489795919, 11.653061224489797, 11.744897959183673, 11.83673469387755, 11.928571428571429, 12.020408163265305, 12.112244897959183, 12.204081632653061, 12.295918367346939, 12.387755102040817, 12.479591836734693, 12.571428571428573, 12.663265306122447, 12.755102040816327, 12.846938775510203, 12.938775510204081, 13.03061224489796, 13.122448979591836, 13.214285714285715, 13.30612244897959, 13.39795918367347, 13.489795918367347, 13.581632653061224, 13.673469387755102, 13.765306122448978, 13.857142857142858, 13.948979591836736, 14.040816326530612, 14.13265306122449, 14.224489795918366, 14.316326530612244, 14.408163265306124, 14.499999999999998], [1.1471409581761683e-12, 6.533190085732865e-11, 1.741951103965296e-09, 2.709110629846486e-08, 2.8802435976522925e-07, 2.2688999850919745e-06, 1.3769610609049261e-05, 6.61365980612875e-05, 0.00025732924859002843, 0.0008282787251401779, 0.0022477289206944105, 0.005231704150586278, 0.010607500721292407, 0.018999748894648012, 0.030448030539608994, 0.04416034085254911, 0.05857030515514451, 0.07170928093857382, 0.08173722664785463, 0.08740892037907277, 0.08831058560597838, 0.08482753386636963, 0.07791442457507657, 0.06878832397284766, 0.05865131485349747, 0.04850302112456148, 0.03905522330536091, 0.03072878861409566, 0.023700855651299545, 0.017972290146207416, 0.013434319300851528, 0.009923076058806542, 0.007258442084295644, 0.0052682390921536424, 0.003800919981625791, 0.002730320359470466, 0.0019555579713793616, 0.0013983828982179465, 0.0009995084083325063, 0.0007148310936793726, 0.0005120095509058369, 0.0003675907212052859, 0.00026471204663565867, 0.00019132671796584272, 0.00013886742649579252, 0.00010125937899687291, 7.420191004054812e-05, 5.465156500838291e-05, 4.04535603283981e-05, 3.0080952002875695e-05]]"	"[[10.5, 10.535714285714286, 10.571428571428571, 10.607142857142856, 10.642857142857142, 10.678571428571427, 10.714285714285714, 10.75, 10.785714285714286, 10.821428571428571, 10.857142857142858, 10.892857142857142, 10.928571428571427, 10.964285714285714, 11.0, 11.035714285714285, 11.071428571428571, 11.107142857142858, 11.142857142857142, 11.178571428571429, 11.214285714285714, 11.25, 11.285714285714285, 11.321428571428571, 11.357142857142858, 11.392857142857142, 11.428571428571429, 11.464285714285714, 11.5, 11.535714285714285, 11.571428571428571, 11.607142857142858, 11.642857142857142, 11.678571428571429, 11.714285714285715, 11.75, 11.785714285714285, 11.821428571428571, 11.857142857142856, 11.892857142857142, 11.928571428571429, 11.964285714285714, 12.0, 12.035714285714286, 12.071428571428571, 12.107142857142856, 12.142857142857142, 12.178571428571429, 12.214285714285714, 12.25], [6.935043728445593e-10, 4.019537934575333e-09, 2.0738635813519345e-08, 9.585080775521091e-08, 3.987929391220073e-07, 1.5003113272224507e-06, 5.125709904794476e-06, 1.5967880572863834e-05, 4.553786083608108e-05, 0.00011933668254810023, 0.00028842321940023957, 0.000645145884589542, 0.0013400273150367809, 0.0025929629826947406, 0.004688668270476902, 0.007946275496626857, 0.012658375043284317, 0.019005651729415915, 0.026966286628296997, 0.03624857484477267, 0.046275008275838934, 0.05623419434001205, 0.06519666745990328, 0.07226954579619796, 0.07675158911719342, 0.07824979290248454, 0.07673091673468618, 0.07250097801471533, 0.0661252278329191, 0.05831412702065844, 0.049804456283135734, 0.04125981441296799, 0.03320482368804448, 0.025996482242376634, 0.019827485034968197, 0.014751525425134141, 0.010719549245499302, 0.007617610588803704, 0.00529999211672812, 0.003614410548630184, 0.002418677468575045, 0.0015898299322212044, 0.001027523941008571, 0.0006536137240240056, 0.0004095824755405429, 0.0002530695870473213, 0.0001543082962421629, 9.292813146415143e-05, 5.5316884829218017e-05, 3.2572522941227463e-05]]"	"[[6.000000000000003e-10, 6.308493714174948e-10, 6.6328488236308e-10, 6.973880851824597e-10, 7.332447252856745e-10, 7.709449567361018e-10, 8.105835689240955e-10, 8.522602248951915e-10, 8.960797119321067e-10, 9.421522050205611e-10, 9.905935438613788e-10, 1.0415255241252983e-09, 1.0950762036828682e-09, 1.1513802245793225e-09, 1.2105791515639985e-09, 1.2728218280254535e-09, 1.338264750227206e-09, 1.4070724607850384e-09, 1.479417962375181e-09, 1.5554831527135555e-09, 1.6354592818997482e-09, 1.7195474332756049e-09, 1.8079590290074687e-09, 1.9009163616632423e-09, 1.998653153120811e-09, 2.101415142213095e-09, 2.209460702587217e-09, 2.3230614923313356e-09, 2.4425031370023493e-09, 2.568085947771984e-09, 2.7001256764967607e-09, 2.838954309610364e-09, 2.984920902834475e-09, 3.1383924588067805e-09, 3.2997548498327708e-09, 3.4694137880813865e-09, 3.647795845663885e-09, 3.835349527160682e-09, 4.0325463972928345e-09, 4.239882266573444e-09, 4.457878437920065e-09, 4.687083017362438e-09, 4.928072292141179e-09, 5.181452179662056e-09, 5.447859750949357e-09, 5.727964832428449e-09, 6.0224716900650016e-09, 6.332120800095269e-09, 6.657690710799571e-09, 7.0000000000000015e-09], [1.1910772977127516e-06, 4.327153606347754e-06, 1.2803123501631994e-05, 3.162386553935229e-05, 6.735120011873475e-05, 0.00012848920950754263, 0.00022810327981857357, 0.0003883889638064351, 0.0006456306048673098, 0.0010550921270134166, 0.0016965495400260565, 0.002680385609929549, 0.004152472167016294, 0.0062947701165895565, 0.009317746383065637, 0.013440395066579527, 0.018854531582752708, 0.025672927612877112, 0.03386612998660488, 0.04319982210138554, 0.05319133755980631, 0.06310718098312469, 0.07201966225108516, 0.0789280823166047, 0.08292990607071053, 0.08340597818616317, 0.0801700397176764, 0.07353478954356947, 0.0642672834848011, 0.053440030713206584, 0.04221809552803659, 0.03164265362752052, 0.022469207283225875, 0.015095663367157631, 0.009582650380185334, 0.005740074952671323, 0.00324031559796827, 0.0017216461335865822, 0.000859895724426182, 0.00040323741346009264, 0.00017732337661781954, 7.303774966508591e-05, 2.814492024596914e-05, 1.0135093804192348e-05, 3.4067732030598954e-06, 1.0677450568748012e-06, 3.116954805958536e-07, 8.465840767166917e-08, 2.1371383319379728e-08, 5.009244992657745e-09]]"	"[[4.000000000000001e-09, 4.119877047001509e-09, 4.243346720602467e-09, 4.370516689169806e-09, 4.501497847811927e-09, 4.636404415081761e-09, 4.775354032577949e-09, 4.918467867530996e-09, 5.065870718463851e-09, 5.217691124019064e-09, 5.37406147504741e-09, 5.5351181300557226e-09, 5.701001534114619e-09, 5.871856341329801e-09, 6.0478315409837246e-09, 6.2290805874576506e-09, 6.4157615340473614e-09, 6.6080371707892265e-09, 6.806075166416829e-09, 7.010048214571915e-09, 7.220134184397183e-09, 7.436516275642227e-09, 7.659383178417887e-09, 7.888929237738326e-09, 8.125354622994308e-09, 8.36886550250546e-09, 8.61967422330371e-09, 8.877999496304877e-09, 9.144066587029352e-09, 9.41810751203891e-09, 9.700361241260396e-09, 9.99107390637294e-09, 1.0290499015440413e-08, 1.0598897673976144e-08, 1.0916538812632995e-08, 1.1243699421716942e-08, 1.1580664792728916e-08, 1.1927728767145583e-08, 1.228519399265567e-08, 1.2653372187075727e-08, 1.3032584410175139e-08, 1.3423161343647559e-08, 1.3825443579472873e-08, 1.4239781916921164e-08, 1.4666537668457659e-08, 1.510608297481543e-08, 1.5558801129510587e-08, 1.602508691308295e-08, 1.650534693735367e-08, 1.7000000000000007e-08], [4.446662015760849e-11, 7.466300230943403e-10, 9.12466212458981e-09, 8.187527515789165e-08, 5.462501849455391e-07, 2.7599545810187247e-06, 1.084218262528216e-05, 3.433163901023494e-05, 9.164326774238302e-05, 0.00021620832196544328, 0.00046890039530553344, 0.0009575250552462048, 0.0018596890555893173, 0.003443249635668033, 0.0060751769417384275, 0.010203529800414357, 0.01629440052466981, 0.024712585731669144, 0.03555417986605951, 0.04846881357717823, 0.06253822565378053, 0.07628828038469432, 0.08788650325794163, 0.09551395041100455, 0.09781938449293726, 0.0943049998743958, 0.08549470215126533, 0.07280917954670584, 0.05818726270618689, 0.04359348113426585, 0.03058640820645724, 0.020077730333243712, 0.012318284459313492, 0.007056833921675593, 0.003771138328228968, 0.0018781098294539925, 0.0008708486769555597, 0.00037560292101410374, 0.00015054808784575728, 5.6024897754582647e-05, 1.933971214636696e-05, 6.187134689324569e-06, 1.8327821045131765e-06, 5.022552453684377e-07, 1.2720742756374865e-07, 2.973575705898664e-08, 6.395831758336028e-09, 1.2558394634378912e-09, 2.212168783178112e-10, 3.3938841070166815e-11]]"
